
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
4.81924,,Segment,2,5,Image 1,1,1,100000000,510000002963,
0.5,,Segment,2,9,Image 1,4,1,100000000,510000002968,
4.69294,,Segment,2,8,Image 1,4,1,100000000,510000002980,
2.38424,,Segment,2,7,Image 1,3,1,100000000,510000003032,
2.38537,,Segment,2,5,Image 1,2,1,100000000,510000003042,
1.29753,,Segment,2,4,Image 1,2,1,100000002,510000003057,
0.928208,,Segment,2,3,Image 1,1,1,100000002,510000003089,
2.72159,,Segment,2,2,Image 1,1,1,100000002,510000003110,
0.816497,,Segment,2,6,Image 1,5,1,100000003,510000003115,
2.89868,,Segment,2,5,Image 1,5,1,100000003,510000003127,
1.59184,,Segment,2,4,Image 1,4,1,100000003,510000003144,
1.63039,,Segment,2,2,Image 1,2,1,100000003,510000003158,
0.829156,,Segment,2,6,Image 1,6,1,100000003,510000003161,
1.29363,,Segment,2,5,Image 1,4,1,100000003,510000003167,
0.863459,,Segment,2,6,Image 1,2,1,100000000,510000003179,
0.4,,Segment,2,5,Image 1,1,1,100000000,510000003183,
4.13004,,Segment,2,4,Image 1,1,1,100000000,510000003224,
0.949372,,Segment,2,3,Image 1,1,1,100000000,510000003252,
0.5,,Segment,2,2,Image 1,1,1,100000000,510000003255,
1.08972,,Segment,2,1,Image 1,1,1,100000000,510000003258,
1.24228,,Segment,2,4,Image 1,2,1,100000000,510000003274,
18.2378,,Segment,2,8,Image 1,4,1,100000003,510000003294,
1.97949,,Segment,2,7,Image 1,3,1,100000003,510000003300,
1.77757,,Segment,2,6,Image 1,3,1,100000003,510000003312,
7.29795,,Segment,2,5,Image 1,3,1,100000003,510000003331,
4.16653,,Segment,2,4,Image 1,2,1,100000003,510000003375,
0.471405,,Segment,2,3,Image 1,1,1,100000003,510000003377,
0.687184,,Segment,2,2,Image 1,1,1,100000003,510000003382,
0.829156,,Segment,2,1,Image 1,1,1,100000003,510000003385,
0.807091,,Segment,2,9,Image 1,4,1,100000001,510000003433,
1.11803,,Segment,2,8,Image 1,3,1,100000001,510000003448,
1.3499,,Segment,2,7,Image 1,3,1,100000001,510000003462,
0.745356,,Segment,2,6,Image 1,3,1,100000001,510000003485,
0.816497,,Segment,2,5,Image 1,3,1,100000001,510000003487,
0.5,,Segment,2,4,Image 1,3,1,100000001,510000003490,
