
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
20.0625,,Segment,2,9,Image 1,2,1,100000002,510000003783,
26.0625,,Segment,2,8,Image 1,6,1,100000003,510000003786,
89.0625,,Segment,2,7,Image 1,3,1,100000000,510000003790,
49.0625,,Segment,2,6,Image 1,2,1,100000000,510000003811,
46.0625,,Segment,2,5,Image 1,2,1,100000000,510000003818,
74.0625,,Segment,2,4,Image 1,2,1,100000000,510000003828,
37.5625,,Segment,2,3,Image 1,2,1,100000000,510000003841,
56.5312,,Segment,2,2,Image 1,1,1,100000000,510000003844,
57.0312,,Segment,2,1,Image 1,1,1,100000000,510000003846,
85.0312,,Segment,2,0,Image 1,1,1,100000000,510000003865,
32.0625,,Segment,2,17,Image 1,2,1,100000000,510000003869,
94.0625,,Segment,2,7,Image 1,2,1,100000000,510000003873,
54.5625,,Segment,2,10,Image 1,2,1,100000002,510000003878,
40.0312,,Segment,2,9,Image 1,3,1,100000002,510000003880,
42.125,,Segment,2,7,Image 1,3,1,100000001,510000003888,
22.0312,,Segment,2,12,Image 1,4,1,100000002,510000003895,
45.0625,,Segment,2,11,Image 1,4,1,100000002,510000003898,
62.0625,,Segment,2,10,Image 1,4,1,100000002,510000003901,
36.0625,,Segment,2,9,Image 1,4,1,100000003,510000003918,
72.0078,,Segment,2,8,Image 1,4,1,100000003,510000003920,
84.0625,,Segment,2,7,Image 1,4,1,100000003,510000003928,
84.0625,,Segment,2,6,Image 1,3,1,100000003,510000003942,
64.0156,,Segment,2,5,Image 1,3,1,100000003,510000003946,
37.5312,,Segment,2,4,Image 1,3,1,100000003,510000003949,
95.0625,,Segment,2,3,Image 1,3,1,100000003,510000003953,
80.0312,,Segment,2,9,Image 1,3,1,100000001,510000003962,
95.0625,,Segment,2,8,Image 1,2,1,100000001,510000003971,
74.125,,Segment,2,8,Image 1,2,1,100000002,510000003978,
39.0312,,Segment,2,8,Image 1,2,1,100000001,510000003995,
58.125,,Segment,2,7,Image 1,2,1,100000001,510000004009,
141.031,,Segment,2,6,Image 1,2,1,100000001,510000004017,
98.125,,Segment,2,5,Image 1,2,1,100000001,510000004035,
135.562,,Segment,2,4,Image 1,2,1,100000001,510000004040,
155.062,,Segment,2,3,Image 1,1,1,100000001,510000004051,
35.5625,,Segment,2,17,Image 1,2,1,100000000,510000004054,
39.0312,,Segment,2,11,Image 1,2,1,100000002,510000004057,
29.0625,,Segment,2,5,Image 1,4,1,100000001,510000004061,
45.5312,,Segment,2,12,Image 1,3,1,100000002,510000004070,
44.5625,,Segment,2,15,Image 1,2,1,100000000,510000004075,
13.0625,,Segment,2,11,Image 1,5,1,100000002,510000004079,
109.625,,Segment,2,8,Image 1,2,1,100000001,510000004086,
51.0156,,Segment,2,15,Image 1,3,1,100000000,510000004089,
67.0312,,Segment,2,8,Image 1,3,1,100000002,510000004097,
22.0625,,Segment,2,9,Image 1,5,1,100000003,510000004103,
40.5625,,Segment,2,12,Image 1,3,1,100000000,510000004114,
73.0625,,Segment,2,10,Image 1,2,1,100000000,510000004138,
15.0312,,Segment,2,12,Image 1,5,1,100000002,510000004140,
53.0312,,Segment,2,11,Image 1,3,1,100000000,510000004144,
60.0625,,Segment,2,8,Image 1,4,1,100000003,510000004146,
52.0625,,Segment,2,7,Image 1,4,1,100000003,510000004156,
70.0625,,Segment,2,8,Image 1,3,1,100000001,510000004159,
68.0625,,Segment,2,6,Image 1,3,1,100000001,510000004161,
11.0625,,Segment,2,7,Image 1,7,1,100000003,510000004164,
41.0625,,Segment,2,7,Image 1,4,1,100000002,510000004172,
70.0625,,Segment,2,6,Image 1,3,1,100000002,510000004180,
43.0312,,Segment,2,15,Image 1,3,1,100000000,510000004182,
72.5312,,Segment,2,14,Image 1,2,1,100000000,510000004187,
38.625,,Segment,2,12,Image 1,2,1,100000000,510000004192,
48.0625,,Segment,2,11,Image 1,5,1,100000002,510000004201,
111.008,,Segment,2,9,Image 1,5,1,100000002,510000004204,
80.0625,,Segment,2,8,Image 1,5,1,100000002,510000004209,
86.0625,,Segment,2,12,Image 1,2,1,100000002,510000004229,
28.0625,,Segment,2,2,Image 1,3,1,100000000,510000004241,
88.0625,,Segment,2,1,Image 1,2,1,100000000,510000004250,
44.0625,,Segment,2,0,Image 1,1,1,100000000,510000004280,
