
Spine Number of Voxel Ch=2 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
33,,Spine,2,5,Image 1,3,1,100000005,610000030107,
48,,Spine,2,5,Image 1,3,1,100000005,610000030108,
46,,Spine,2,5,Image 1,3,1,100000005,610000030109,
41,,Spine,2,5,Image 1,2,1,100000005,610000030110,
70,,Spine,2,4,Image 1,2,1,100000005,610000030111,
76,,Spine,2,4,Image 1,2,1,100000005,610000030112,
94,,Spine,2,2,Image 1,2,1,100000005,610000030113,
64,,Spine,2,3,Image 1,3,1,100000005,610000030114,
46,,Spine,2,3,Image 1,3,1,100000005,610000030115,
72,,Spine,2,2,Image 1,3,1,100000005,610000030116,
150,,Spine,2,4,Image 1,1,1,100000005,610000030117,
85,,Spine,2,4,Image 1,1,1,100000005,610000030118,
89,,Spine,2,4,Image 1,1,1,100000005,610000030119,
63,,Spine,2,1,Image 1,2,1,100000005,610000030120,
