
Segment Center Intensity Median Ch=4 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
97.0312,,Segment,4,7,Image 1,2,1,100000003,510000003358,
85.0312,,Segment,4,6,Image 1,2,1,100000003,510000003363,
89.5625,,Segment,4,5,Image 1,2,1,100000003,510000003398,
123.531,,Segment,4,4,Image 1,1,1,100000003,510000003403,
118.016,,Segment,4,2,Image 1,1,1,100000003,510000003406,
168.508,,Segment,4,0,Image 1,1,1,100000003,510000003412,
28.0625,,Segment,4,7,Image 1,4,1,100000001,510000003452,
119.125,,Segment,4,5,Image 1,2,1,100000004,510000003505,
95.5625,,Segment,4,4,Image 1,2,1,100000004,510000003522,
74.0156,,Segment,4,3,Image 1,2,1,100000004,510000003524,
66.0625,,Segment,4,2,Image 1,2,1,100000004,510000003543,
123.562,,Segment,4,1,Image 1,2,1,100000004,510000003552,
106.562,,Segment,4,0,Image 1,1,1,100000004,510000003597,
30.0312,,Segment,4,6,Image 1,4,1,100000004,510000003614,
73.0625,,Segment,4,5,Image 1,3,1,100000004,510000003626,
8.01563,,Segment,4,3,Image 1,1,1,100000000,510000003629,
48.625,,Segment,4,5,Image 1,3,1,100000000,510000003668,
107.062,,Segment,4,4,Image 1,2,1,100000000,510000003678,
106.562,,Segment,4,3,Image 1,2,1,100000000,510000003687,
119.562,,Segment,4,2,Image 1,2,1,100000000,510000003706,
107.125,,Segment,4,0,Image 1,1,1,100000000,510000003742,
64.5625,,Segment,4,10,Image 1,3,1,100000003,510000003760,
59.0625,,Segment,4,8,Image 1,4,1,100000001,510000003762,
66.0625,,Segment,4,6,Image 1,3,1,100000004,510000003766,
18.125,,Segment,4,2,Image 1,3,1,100000000,510000003774,
29.0312,,Segment,4,1,Image 1,2,1,100000000,510000003778,
88.5625,,Segment,4,6,Image 1,3,1,100000000,510000003787,
37.5312,,Segment,4,3,Image 1,3,1,100000000,510000003792,
95.125,,Segment,4,4,Image 1,1,1,100000000,510000003856,
93.0625,,Segment,4,3,Image 1,1,1,100000000,510000003879,
131.031,,Segment,4,2,Image 1,1,1,100000000,510000003893,
57.0625,,Segment,4,2,Image 1,2,1,100000000,510000003919,
131.062,,Segment,4,9,Image 1,4,1,100000003,510000003953,
22.5625,,Segment,4,5,Image 1,3,1,100000000,510000003956,
80.125,,Segment,4,6,Image 1,1,1,100000001,510000003996,
84.0625,,Segment,4,5,Image 1,1,1,100000001,510000004008,
41.625,,Segment,4,2,Image 1,2,1,100000000,510000004013,
87.0625,,Segment,4,4,Image 1,3,1,100000000,510000004016,
72.0625,,Segment,4,6,Image 1,2,1,100000001,510000004028,
93.0625,,Segment,4,5,Image 1,2,1,100000001,510000004070,
75.5625,,Segment,4,4,Image 1,2,1,100000001,510000004081,
44.5312,,Segment,4,7,Image 1,3,1,100000003,510000004088,
102.125,,Segment,4,4,Image 1,4,1,100000000,510000004104,
131.031,,Segment,4,2,Image 1,3,1,100000000,510000004114,
74.0625,,Segment,4,4,Image 1,2,1,100000000,510000004128,
61.0625,,Segment,4,5,Image 1,3,1,100000001,510000004141,
62.125,,Segment,4,3,Image 1,4,1,100000000,510000004149,
52.0625,,Segment,4,1,Image 1,2,1,100000004,510000004172,
10.0625,,Segment,4,4,Image 1,3,1,100000000,510000004176,
44.0625,,Segment,4,8,Image 1,2,1,100000003,510000004178,
110.125,,Segment,4,3,Image 1,1,1,100000004,510000004218,
115.062,,Segment,4,2,Image 1,1,1,100000004,510000004221,
49.0312,,Segment,4,1,Image 1,1,1,100000004,510000004229,
49.0625,,Segment,4,0,Image 1,1,1,100000004,510000004237,
23.5625,,Segment,4,3,Image 1,3,1,100000004,510000004240,
109.562,,Segment,4,5,Image 1,2,1,100000000,510000004255,
45.0312,,Segment,4,4,Image 1,3,1,100000004,510000004257,
0.03125,,Segment,4,6,Image 1,2,1,100000001,510000004261,
26.0625,,Segment,4,4,Image 1,3,1,100000000,510000004267,
43.0625,,Segment,4,1,Image 1,2,1,100000003,510000004277,
124.125,,Segment,4,0,Image 1,1,1,100000003,510000004346,
56.5312,,Segment,4,3,Image 1,2,1,100000004,510000004349,
90.125,,Segment,4,2,Image 1,1,1,100000004,510000004368,
90.0625,,Segment,4,1,Image 1,1,1,100000003,510000004374,
60.0312,,Segment,4,3,Image 1,1,1,100000004,510000004376,
76.125,,Segment,4,6,Image 1,3,1,100000003,510000004380,
12.625,,Segment,4,3,Image 1,2,1,100000004,510000004383,
33.0625,,Segment,4,2,Image 1,3,1,100000004,510000004395,
58.5625,,Segment,4,3,Image 1,2,1,100000000,510000004406,
43.0625,,Segment,4,2,Image 1,2,1,100000004,510000004414,
24.125,,Segment,4,3,Image 1,3,1,100000000,510000004418,
11.0625,,Segment,4,2,Image 1,2,1,100000004,510000004421,
35.125,,Segment,4,3,Image 1,2,1,100000001,510000004425,
69.125,,Segment,4,4,Image 1,2,1,100000003,510000004449,
58.0625,,Segment,4,3,Image 1,2,1,100000003,510000004461,
44.0625,,Segment,4,2,Image 1,2,1,100000003,510000004472,
43.0625,,Segment,4,1,Image 1,2,1,100000000,510000004476,
119.062,,Segment,4,4,Image 1,2,1,100000003,510000004493,
58.125,,Segment,4,2,Image 1,2,1,100000001,510000004498,
36.0625,,Segment,4,2,Image 1,2,1,100000004,510000004508,
48.0312,,Segment,4,1,Image 1,2,1,100000004,510000004516,
152.062,,Segment,4,5,Image 1,1,1,100000003,510000004523,
73.125,,Segment,4,1,Image 1,1,1,100000003,510000004527,
116.625,,Segment,4,1,Image 1,2,1,100000003,510000004567,
122.031,,Segment,4,1,Image 1,2,1,100000001,510000004571,
47.0625,,Segment,4,0,Image 1,1,1,100000003,510000004576,
4.5625,,Segment,4,1,Image 1,2,1,100000004,510000004581,
28.125,,Segment,4,1,Image 1,2,1,100000003,510000004584,
89.0625,,Segment,4,0,Image 1,1,1,100000000,510000004627,
192.031,,Segment,4,1,Image 1,1,1,100000000,510000004664,
151.562,,Segment,4,0,Image 1,1,1,100000000,510000004670,
124.125,,Segment,4,1,Image 1,2,1,100000000,510000004710,
98.625,,Segment,4,0,Image 1,1,1,100000001,510000004749,
54.125,,Segment,4,0,Image 1,1,1,100000002,510000004757,
101.125,,Segment,4,0,Image 1,1,1,100000002,510000004777,
120.516,,Segment,4,1,Image 1,1,1,100000000,510000004811,
125.516,,Segment,4,3,Image 1,3,1,100000000,510000004812,
99.5078,,Segment,4,1,Image 1,1,1,100000001,510000004814,
28.5156,,Segment,4,5,Image 1,3,1,100000001,510000004815,
33.0156,,Segment,4,3,Image 1,3,1,100000001,510000004816,
72.5312,,Segment,4,3,Image 1,3,1,100000001,510000004817,
72.0039,,Segment,4,2,Image 1,1,1,100000001,510000004819,
97.002,,Segment,4,10,Image 1,2,1,100000001,510000004820,
83.5078,,Segment,4,6,Image 1,3,1,100000001,510000004821,
53.0312,,Segment,4,4,Image 1,3,1,100000001,510000004822,
134.516,,Segment,4,7,Image 1,4,1,100000001,510000004823,
178.516,,Segment,4,4,Image 1,1,1,100000002,510000004828,
72.5156,,Segment,4,17,Image 1,5,1,100000002,510000004829,
82.0312,,Segment,4,18,Image 1,5,1,100000002,510000004830,
86.5625,,Segment,4,28,Image 1,9,1,100000002,510000004831,
132.016,,Segment,4,16,Image 1,7,1,100000002,510000004832,
163.531,,Segment,4,14,Image 1,7,1,100000002,510000004833,
59.5156,,Segment,4,4,Image 1,4,1,100000002,510000004835,
150.031,,Segment,4,1,Image 1,1,1,100000003,510000004837,
139.031,,Segment,4,3,Image 1,1,1,100000003,510000004838,
102.016,,Segment,4,1,Image 1,1,1,100000004,510000004839,
181.625,,Segment,4,0,Image 1,1,1,,,
