
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.465116,µm,Spine,1,1,1,100000003,610000008153,
0.490804,µm,Spine,1,1,1,100000003,610000008154,
0.4265,µm,Spine,1,1,1,100000003,610000008155,
0.286973,µm,Spine,0,1,1,100000003,610000008156,
0.259564,µm,Spine,7,3,1,100000003,610000008158,
0.181968,µm,Spine,8,3,1,100000003,610000008159,
0.258545,µm,Spine,2,2,1,100000003,610000008160,
0.259767,µm,Spine,1,1,1,100000003,610000008161,
0.24474,µm,Spine,0,1,1,100000003,610000008162,
0.279281,µm,Spine,0,1,1,100000003,610000008163,
