
Spine Part Volume Neck
 ==================== 
Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0099167,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003837,
0,µm^3,Spine,Spine Part Volume,,,1,100000069,610000003839,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003842,
0,µm^3,Spine,Spine Part Volume,2,3,1,100000003,610000003844,
0.00632419,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003847,
0.00431009,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003850,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003852,
0.0258898,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003862,
0.00436724,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003865,
0,µm^3,Spine,Spine Part Volume,,,1,100000025,610000003867,
0.0078264,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003873,
0.0840266,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003880,
0,µm^3,Spine,Spine Part Volume,4,2,1,100000037,610000003882,
0,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003886,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003888,
0.00572625,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003891,
0.0276593,µm^3,Spine,Spine Part Volume,1,1,1,100000037,610000003894,
0.00678214,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003897,
0.00284786,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003900,
0,µm^3,Spine,Spine Part Volume,2,3,1,100000003,610000003902,
0.00878283,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003906,
0,µm^3,Spine,Spine Part Volume,3,3,1,100000037,610000003908,
0.00546348,µm^3,Spine,Spine Part Volume,0,1,1,100000037,610000003911,
0.00345701,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003915,
0.015994,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003920,
0.0066199,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003923,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003925,
0.0184056,µm^3,Spine,Spine Part Volume,4,2,1,100000037,610000003931,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003933,
0.00820531,µm^3,Spine,Spine Part Volume,1,1,1,100000037,610000003937,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003939,
0.00698128,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003942,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003946,
0.00712468,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003949,
0.00723653,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003952,
0.019344,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003957,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003959,
0.0135521,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003965,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003970,
0,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003972,
0.00694968,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003977,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003979,
0.0556284,µm^3,Spine,Spine Part Volume,1,2,1,100000037,610000003985,
0.00723948,µm^3,Spine,Spine Part Volume,4,3,1,100000037,610000003991,
0,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003993,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003997,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003999,
0.00866297,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004002,
0,µm^3,Spine,Spine Part Volume,,,1,100000038,610000004004,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004006,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004008,
0.0109636,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004011,
0,µm^3,Spine,Spine Part Volume,,,1,100000054,610000004013,
0,µm^3,Spine,Spine Part Volume,,,1,100000027,610000004015,
0,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000004018,
0.00621355,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000004021,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004023,
0.00171744,µm^3,Spine,Spine Part Volume,2,2,1,100000037,610000004026,
0,µm^3,Spine,Spine Part Volume,3,3,1,100000037,610000004030,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004033,
0.0051815,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004036,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000004038,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000004042,
0,µm^3,Spine,Spine Part Volume,,,1,100000054,610000004047,
0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000004049,
0,µm^3,Spine,Spine Part Volume,2,3,1,100000003,610000004051,
0.00401892,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004054,
0.00756714,µm^3,Spine,Spine Part Volume,,,1,100000038,610000004057,
0.0116144,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000004060,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000004062,
0.0161372,µm^3,Spine,Spine Part Volume,0,1,1,100000037,610000004065,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000004067,
0.00504468,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000004070,
0.0566266,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000004073,
0.0439254,µm^3,Spine,Spine Part Volume,1,2,1,100000037,610000004077,
0.00770877,µm^3,Spine,Spine Part Volume,3,2,1,100000003,610000004080,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004084,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000004087,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004091,
0.00626716,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000004094,
0,µm^3,Spine,Spine Part Volume,4,3,1,100000037,610000004096,
0.0156893,µm^3,Spine,Spine Part Volume,,,1,100000053,610000004099,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000004101,
0.00487145,µm^3,Spine,Spine Part Volume,3,4,1,100000003,610000004104,
