
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3,,Segment,1,2,Image 1,2,1,100000005,510000016455,
4,,Segment,1,2,Image 1,1,1,100000004,510000016467,
2,,Segment,1,1,Image 1,1,1,100000004,510000016475,
3,,Segment,1,3,Image 1,2,1,100000003,510000016479,
6,,Segment,1,2,Image 1,2,1,100000004,510000016488,
3,,Segment,1,1,Image 1,2,1,100000005,510000016493,
3,,Segment,1,2,Image 1,2,1,100000005,510000016495,
1,,Segment,1,0,Image 1,1,1,100000005,510000016497,
8,,Segment,1,2,Image 1,1,1,100000005,510000016499,
2,,Segment,1,1,Image 1,2,1,100000004,510000016503,
2,,Segment,1,4,Image 1,3,1,100000003,510000016508,
1,,Segment,1,3,Image 1,2,1,100000003,510000016512,
1,,Segment,1,5,Image 1,2,1,100000003,510000016514,
1,,Segment,1,4,Image 1,2,1,100000003,510000016517,
3,,Segment,1,3,Image 1,2,1,100000004,510000016528,
4,,Segment,1,1,Image 1,1,1,100000004,510000016537,
48,,Segment,1,2,Image 1,1,1,100000004,510000016563,
3,,Segment,1,3,Image 1,1,1,100000004,510000016573,
5,,Segment,1,2,Image 1,3,1,100000004,510000016584,
3,,Segment,1,1,Image 1,2,1,100000004,510000016590,
14,,Segment,1,0,Image 1,1,1,100000004,510000016599,
6,,Segment,1,2,Image 1,2,1,100000004,510000016633,
3,,Segment,1,2,Image 1,2,1,100000003,510000016644,
5,,Segment,1,2,Image 1,1,1,100000004,510000016647,
4,,Segment,1,1,Image 1,1,1,100000004,510000016661,
1,,Segment,1,2,Image 1,2,1,100000004,510000016667,
2,,Segment,1,1,Image 1,2,1,100000003,510000016677,
1,,Segment,1,2,Image 1,2,1,100000003,510000016679,
2,,Segment,1,1,Image 1,2,1,100000003,510000016685,
18,,Segment,1,0,Image 1,1,1,100000004,510000016688,
4,,Segment,1,1,Image 1,1,1,100000003,510000016703,
3,,Segment,1,0,Image 1,1,1,100000003,510000016717,
3,,Segment,1,0,Image 1,1,1,100000004,510000016723,
4,,Segment,1,0,Image 1,1,1,100000003,510000016751,
3,,Segment,1,0,Image 1,1,1,100000004,510000016760,
2,,Segment,1,0,Image 1,1,1,100000003,510000016768,
2,,Segment,1,0,Image 1,1,1,100000003,510000016807,
1,,Segment,1,0,Image 1,1,1,100000003,510000016815,
2,,Segment,1,0,Image 1,1,1,100000003,510000016818,
5,,Segment,1,3,Image 1,1,1,100000003,510000016822,
4,,Segment,1,9,Image 1,2,1,100000003,510000016823,
1,,Segment,1,13,Image 1,4,1,100000003,510000016824,
2,,Segment,1,21,Image 1,5,1,100000003,510000016825,
0,,Segment,1,14,Image 1,5,1,100000003,510000016826,
0,,Segment,1,1,Image 1,2,1,100000003,510000016829,
2,,Segment,1,7,Image 1,5,1,100000003,510000016830,
2,,Segment,1,8,Image 1,5,1,100000003,510000016831,
2,,Segment,1,13,Image 1,7,1,100000003,510000016832,
2,,Segment,1,2,Image 1,3,1,100000004,510000016833,
1,,Segment,1,6,Image 1,5,1,100000004,510000016834,
1,,Segment,1,7,Image 1,1,1,100000004,510000016835,
7,,Segment,1,13,Image 1,5,1,100000004,510000016836,
2,,Segment,1,6,Image 1,3,1,100000004,510000016837,
2,,Segment,1,6,Image 1,2,1,100000004,510000016838,
1,,Segment,1,2,Image 1,3,1,100000004,510000016839,
1,,Segment,1,2,Image 1,1,1,100000004,510000016840,
3,,Segment,1,2,Image 1,2,1,100000004,510000016843,
3,,Segment,1,5,Image 1,2,1,100000005,510000016846,
