
Segment Intensity Median Ch=3 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
76.125,,Segment,3,3,Image 1,3,1,100000004,510000015986,
37.0625,,Segment,3,4,Image 1,2,1,100000004,510000016010,
45.0625,,Segment,3,3,Image 1,2,1,100000004,510000016021,
24.0625,,Segment,3,1,Image 1,2,1,100000005,510000016034,
30.0625,,Segment,3,6,Image 1,3,1,100000003,510000016053,
34.125,,Segment,3,5,Image 1,2,1,100000003,510000016062,
76.125,,Segment,3,4,Image 1,2,1,100000003,510000016073,
54.125,,Segment,3,5,Image 1,3,1,100000003,510000016121,
56.125,,Segment,3,5,Image 1,3,1,100000003,510000016130,
37.0625,,Segment,3,2,Image 1,1,1,100000005,510000016143,
22.0625,,Segment,3,1,Image 1,1,1,100000005,510000016151,
23.0625,,Segment,3,0,Image 1,1,1,100000005,510000016158,
31.0625,,Segment,3,4,Image 1,4,1,100000004,510000016178,
54.0625,,Segment,3,4,Image 1,3,1,100000004,510000016198,
26.0625,,Segment,3,6,Image 1,2,1,100000003,510000016204,
52.125,,Segment,3,5,Image 1,2,1,100000003,510000016213,
35.0625,,Segment,3,6,Image 1,2,1,100000003,510000016227,
31.0625,,Segment,3,1,Image 1,1,1,100000005,510000016229,
37.5625,,Segment,3,0,Image 1,1,1,100000005,510000016231,
82.625,,Segment,3,4,Image 1,3,1,100000003,510000016241,
62.125,,Segment,3,3,Image 1,2,1,100000003,510000016278,
64.125,,Segment,3,2,Image 1,2,1,100000003,510000016331,
76.125,,Segment,3,6,Image 1,1,1,100000003,510000016333,
40.125,,Segment,3,6,Image 1,1,1,100000003,510000016335,
23.0625,,Segment,3,2,Image 1,3,1,100000004,510000016339,
39.0625,,Segment,3,5,Image 1,2,1,100000003,510000016348,
43.125,,Segment,3,1,Image 1,2,1,100000005,510000016369,
46.125,,Segment,3,0,Image 1,1,1,100000005,510000016382,
32.125,,Segment,3,1,Image 1,2,1,100000005,510000016384,
53.125,,Segment,3,4,Image 1,2,1,100000003,510000016386,
37.125,,Segment,3,8,Image 1,1,1,100000003,510000016388,
24.5625,,Segment,3,2,Image 1,3,1,100000005,510000016390,
54.125,,Segment,3,1,Image 1,2,1,100000005,510000016402,
71.125,,Segment,3,4,Image 1,2,1,100000003,510000016432,
35.125,,Segment,3,2,Image 1,2,1,100000005,510000016443,
77.125,,Segment,3,1,Image 1,1,1,100000005,510000016446,
23.0625,,Segment,3,2,Image 1,3,1,100000003,510000016452,
35.0625,,Segment,3,2,Image 1,2,1,100000005,510000016455,
63.625,,Segment,3,2,Image 1,1,1,100000004,510000016467,
90.125,,Segment,3,1,Image 1,1,1,100000004,510000016475,
48.625,,Segment,3,3,Image 1,2,1,100000003,510000016479,
60.125,,Segment,3,2,Image 1,2,1,100000004,510000016488,
22.0312,,Segment,3,1,Image 1,2,1,100000005,510000016493,
35.0625,,Segment,3,2,Image 1,2,1,100000005,510000016495,
38.0625,,Segment,3,0,Image 1,1,1,100000005,510000016497,
48.125,,Segment,3,2,Image 1,1,1,100000005,510000016499,
86.125,,Segment,3,1,Image 1,2,1,100000004,510000016503,
51.0625,,Segment,3,4,Image 1,3,1,100000003,510000016508,
63.125,,Segment,3,3,Image 1,2,1,100000003,510000016512,
46.625,,Segment,3,5,Image 1,2,1,100000003,510000016514,
54.0625,,Segment,3,4,Image 1,2,1,100000003,510000016517,
55.125,,Segment,3,3,Image 1,2,1,100000004,510000016528,
66.125,,Segment,3,1,Image 1,1,1,100000004,510000016537,
55.125,,Segment,3,2,Image 1,1,1,100000004,510000016563,
58.125,,Segment,3,3,Image 1,1,1,100000004,510000016573,
42.0625,,Segment,3,2,Image 1,3,1,100000004,510000016584,
55.625,,Segment,3,1,Image 1,2,1,100000004,510000016590,
58.125,,Segment,3,0,Image 1,1,1,100000004,510000016599,
43.0625,,Segment,3,2,Image 1,2,1,100000004,510000016633,
54.125,,Segment,3,2,Image 1,2,1,100000003,510000016644,
61.5625,,Segment,3,2,Image 1,1,1,100000004,510000016647,
72.125,,Segment,3,1,Image 1,1,1,100000004,510000016661,
55.0625,,Segment,3,2,Image 1,2,1,100000004,510000016667,
44.0625,,Segment,3,1,Image 1,2,1,100000003,510000016677,
51.125,,Segment,3,2,Image 1,2,1,100000003,510000016679,
61.125,,Segment,3,1,Image 1,2,1,100000003,510000016685,
33.0625,,Segment,3,0,Image 1,1,1,100000004,510000016688,
84.125,,Segment,3,1,Image 1,1,1,100000003,510000016703,
81.0625,,Segment,3,0,Image 1,1,1,100000003,510000016717,
67.125,,Segment,3,0,Image 1,1,1,100000004,510000016723,
56.125,,Segment,3,0,Image 1,1,1,100000003,510000016751,
54.5625,,Segment,3,0,Image 1,1,1,100000004,510000016760,
77.125,,Segment,3,0,Image 1,1,1,100000003,510000016768,
85.125,,Segment,3,0,Image 1,1,1,100000003,510000016807,
85.125,,Segment,3,0,Image 1,1,1,100000003,510000016815,
81.625,,Segment,3,0,Image 1,1,1,100000003,510000016818,
80.625,,Segment,3,3,Image 1,1,1,100000003,510000016822,
97.125,,Segment,3,9,Image 1,2,1,100000003,510000016823,
47.0625,,Segment,3,13,Image 1,4,1,100000003,510000016824,
41.0625,,Segment,3,21,Image 1,5,1,100000003,510000016825,
66.125,,Segment,3,14,Image 1,5,1,100000003,510000016826,
96.0625,,Segment,3,1,Image 1,2,1,100000003,510000016829,
59.5625,,Segment,3,7,Image 1,5,1,100000003,510000016830,
62.0625,,Segment,3,8,Image 1,5,1,100000003,510000016831,
33.0312,,Segment,3,13,Image 1,7,1,100000003,510000016832,
45.0625,,Segment,3,2,Image 1,3,1,100000004,510000016833,
6.03125,,Segment,3,6,Image 1,5,1,100000004,510000016834,
70.0625,,Segment,3,7,Image 1,1,1,100000004,510000016835,
53.0625,,Segment,3,13,Image 1,5,1,100000004,510000016836,
30.0625,,Segment,3,6,Image 1,3,1,100000004,510000016837,
22.0312,,Segment,3,6,Image 1,2,1,100000004,510000016838,
40.0625,,Segment,3,2,Image 1,3,1,100000004,510000016839,
57.625,,Segment,3,2,Image 1,1,1,100000004,510000016840,
66.625,,Segment,3,2,Image 1,2,1,100000004,510000016843,
36.0625,,Segment,3,5,Image 1,2,1,100000005,510000016846,
