
Spine Center Intensity Max Ch=1 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1,,Spine,1,6,Image 1,1,1,100000002,610000007379,
4,,Spine,1,4,Image 1,1,1,100000002,610000007380,
1,,Spine,1,4,Image 1,2,1,100000002,610000007381,
1,,Spine,1,4,Image 1,2,1,100000002,610000007382,
0,,Spine,1,2,Image 1,1,1,100000002,610000007383,
1,,Spine,1,2,Image 1,2,1,100000002,610000007384,
2,,Spine,1,2,Image 1,1,1,100000002,610000007387,
1,,Spine,1,2,Image 1,1,1,100000002,610000007388,
0,,Spine,1,1,Image 1,1,1,100000002,610000007389,
2,,Spine,1,1,Image 1,1,1,100000002,610000007390,
2,,Spine,1,0,Image 1,1,1,100000002,610000007391,
2,,Spine,1,5,Image 1,3,1,100000002,610000007400,
2,,Spine,1,5,Image 1,3,1,100000002,610000007401,
0,,Spine,1,5,Image 1,3,1,100000002,610000007402,
7,,Spine,1,8,Image 1,2,1,100000002,610000007403,
2,,Spine,1,8,Image 1,2,1,100000002,610000007404,
3,,Spine,1,8,Image 1,2,1,100000002,610000007405,
1,,Spine,1,8,Image 1,2,1,100000002,610000007406,
5,,Spine,1,12,Image 1,3,1,100000002,610000007407,
1,,Spine,1,12,Image 1,3,1,100000002,610000007408,
1,,Spine,1,9,Image 1,4,1,100000002,610000007409,
1,,Spine,1,8,Image 1,4,1,100000002,610000007410,
1,,Spine,1,6,Image 1,2,1,100000002,610000007411,
2,,Spine,1,6,Image 1,3,1,100000002,610000007412,
1,,Spine,1,6,Image 1,3,1,100000002,610000007413,
2,,Spine,1,3,Image 1,2,1,100000002,610000007414,
2,,Spine,1,9,Image 1,3,1,100000002,610000007415,
1,,Spine,1,9,Image 1,3,1,100000002,610000007416,
9,,Spine,1,8,Image 1,3,1,100000002,610000007417,
8,,Spine,1,8,Image 1,3,1,100000002,610000007418,
4,,Spine,1,7,Image 1,2,1,100000002,610000007419,
1,,Spine,1,7,Image 1,3,1,100000002,610000007420,
1,,Spine,1,5,Image 1,2,1,100000002,610000007421,
3,,Spine,1,4,Image 1,2,1,100000002,610000007422,
5,,Spine,1,4,Image 1,1,1,100000002,610000007423,
3,,Spine,1,3,Image 1,1,1,100000002,610000007424,
1,,Spine,1,2,Image 1,2,1,100000002,610000007425,
2,,Spine,1,2,Image 1,2,1,100000002,610000007426,
3,,Spine,1,2,Image 1,2,1,100000002,610000007427,
2,,Spine,1,2,Image 1,2,1,100000002,610000007428,
2,,Spine,1,0,Image 1,1,1,100000002,610000007429,
4,,Spine,1,0,Image 1,1,1,100000002,610000007430,
1,,Spine,1,0,Image 1,1,1,100000002,610000007431,
51,,Spine,1,7,Image 1,3,1,100000002,610000007432,
3,,Spine,1,5,Image 1,3,1,100000002,610000007433,
13,,Spine,1,5,Image 1,3,1,100000002,610000007434,
2,,Spine,1,5,Image 1,5,1,100000002,610000007435,
3,,Spine,1,5,Image 1,5,1,100000002,610000007436,
0,,Spine,1,4,Image 1,4,1,100000002,610000007437,
1,,Spine,1,1,Image 1,2,1,100000002,610000007438,
4,,Spine,1,2,Image 1,2,1,100000002,610000007439,
1,,Spine,1,6,Image 1,4,1,100000002,610000007440,
9,,Spine,1,6,Image 1,4,1,100000002,610000007441,
3,,Spine,1,7,Image 1,4,1,100000002,610000007442,
2,,Spine,1,7,Image 1,3,1,100000002,610000007443,
1,,Spine,1,6,Image 1,3,1,100000002,610000007444,
0,,Spine,1,0,Image 1,1,1,100000002,610000007445,
1,,Spine,1,0,Image 1,1,1,100000002,610000007446,
0,,Spine,1,0,Image 1,1,1,100000002,610000007447,
6,,Spine,1,0,Image 1,1,1,100000002,610000007448,
4,,Spine,1,0,Image 1,1,1,100000002,610000007449,
1,,Spine,1,0,Image 1,1,1,100000002,610000007450,
2,,Spine,1,1,Image 1,2,1,100000002,610000007451,
23,,Spine,1,10,Image 1,7,1,100000003,610000007454,
3,,Spine,1,10,Image 1,8,1,100000003,610000007455,
5,,Spine,1,10,Image 1,8,1,100000003,610000007456,
9,,Spine,1,10,Image 1,8,1,100000003,610000007457,
9,,Spine,1,10,Image 1,8,1,100000003,610000007458,
1,,Spine,1,9,Image 1,6,1,100000003,610000007459,
3,,Spine,1,7,Image 1,5,1,100000003,610000007460,
3,,Spine,1,7,Image 1,5,1,100000003,610000007461,
2,,Spine,1,6,Image 1,5,1,100000003,610000007462,
2,,Spine,1,6,Image 1,5,1,100000003,610000007463,
14,,Spine,1,6,Image 1,5,1,100000003,610000007464,
2,,Spine,1,5,Image 1,5,1,100000003,610000007465,
2,,Spine,1,7,Image 1,4,1,100000003,610000007466,
1,,Spine,1,8,Image 1,3,1,100000003,610000007467,
2,,Spine,1,7,Image 1,3,1,100000003,610000007468,
2,,Spine,1,6,Image 1,4,1,100000003,610000007469,
1,,Spine,1,2,Image 1,3,1,100000003,610000007470,
1,,Spine,1,1,Image 1,2,1,100000003,610000007471,
2,,Spine,1,4,Image 1,2,1,100000003,610000007472,
3,,Spine,1,2,Image 1,2,1,100000003,610000007473,
2,,Spine,1,1,Image 1,1,1,100000003,610000007474,
2,,Spine,1,1,Image 1,1,1,100000003,610000007475,
1,,Spine,1,1,Image 1,2,1,100000003,610000007476,
1,,Spine,1,1,Image 1,2,1,100000003,610000007477,
1,,Spine,1,1,Image 1,2,1,100000003,610000007478,
2,,Spine,1,0,Image 1,1,1,100000003,610000007481,
