
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1464.32,µm,Segment,Segment Position,0,1,1,100000000,510000002657,
1464.08,µm,Segment,Segment Position,3,2,1,100000000,510000002661,
1464.21,µm,Segment,Segment Position,3,2,1,100000000,510000002665,
1466.86,µm,Segment,Segment Position,2,2,1,100000001,510000002679,
1466.58,µm,Segment,Segment Position,1,1,1,100000001,510000002691,
1465.92,µm,Segment,Segment Position,0,1,1,100000001,510000002708,
1464.18,µm,Segment,Segment Position,3,1,1,100000001,510000002722,
1464.01,µm,Segment,Segment Position,4,1,1,100000000,510000002724,
1464.17,µm,Segment,Segment Position,2,2,1,100000001,510000002729,
1465.16,µm,Segment,Segment Position,2,2,1,100000001,510000002734,
1465.87,µm,Segment,Segment Position,1,2,1,100000001,510000002744,
1465.34,µm,Segment,Segment Position,2,3,1,100000001,510000002746,
1467.09,µm,Segment,Segment Position,2,1,1,100000001,510000002750,
1465.73,µm,Segment,Segment Position,1,2,1,100000002,510000002763,
1464.29,µm,Segment,Segment Position,1,2,1,100000000,510000002766,
1464.97,µm,Segment,Segment Position,0,1,1,100000001,510000002782,
1465.91,µm,Segment,Segment Position,0,1,1,100000001,510000002792,
1463.77,µm,Segment,Segment Position,0,1,1,100000000,510000002799,
1466.08,µm,Segment,Segment Position,0,1,1,100000001,510000002805,
1465.58,µm,Segment,Segment Position,0,1,1,100000001,510000002821,
1464.99,µm,Segment,Segment Position,0,1,1,100000001,510000002823,
1463.54,µm,Segment,Segment Position,0,1,1,100000000,510000002825,
1464.91,µm,Segment,Segment Position,3,2,1,100000000,510000002843,
1464.65,µm,Segment,Segment Position,3,2,1,100000000,510000002847,
1464.43,µm,Segment,Segment Position,4,3,1,100000000,510000002848,
1464.32,µm,Segment,Segment Position,5,4,1,100000000,510000002849,
1463.67,µm,Segment,Segment Position,10,4,1,100000000,510000002850,
1463.97,µm,Segment,Segment Position,8,4,1,100000000,510000002851,
1463.97,µm,Segment,Segment Position,8,4,1,100000000,510000002853,
1464.15,µm,Segment,Segment Position,7,2,1,100000000,510000002854,
1464.37,µm,Segment,Segment Position,1,1,1,100000001,510000002856,
