
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
44.625,,Spine,2,3,Image 1,3,1,100000002,610000003084,
12.0625,,Spine,2,1,Image 1,2,1,100000002,610000003087,
53.0312,,Spine,2,7,Image 1,3,1,100000002,610000003089,
47.0625,,Spine,2,0,Image 1,1,1,100000001,610000003093,
12.0625,,Spine,2,1,Image 1,1,1,100000001,610000003095,
44.5156,,Spine,2,0,Image 1,1,1,100000000,610000003099,
18.0312,,Spine,2,3,Image 1,1,1,100000001,610000003101,
45.0625,,Spine,2,4,Image 1,2,1,100000002,610000003103,
20.0156,,Spine,2,8,Image 1,5,1,100000002,610000003105,
64.0625,,Spine,2,5,Image 1,2,1,100000002,610000003107,
18.0312,,Spine,2,4,Image 1,1,1,100000002,610000003109,
53.0312,,Spine,2,2,Image 1,1,1,100000002,610000003111,
37.0625,,Spine,2,3,Image 1,2,1,100000002,610000003113,
76.5078,,Spine,2,0,Image 1,1,1,100000000,610000003117,
21.0312,,Spine,2,1,Image 1,1,1,100000000,610000003120,
25.0156,,Spine,2,4,Image 1,3,1,100000002,610000003122,
15.125,,Spine,2,2,Image 1,2,1,100000002,610000003124,
36.0156,,Spine,2,2,Image 1,3,1,100000001,610000003126,
38.0156,,Spine,2,4,Image 1,2,1,100000001,610000003128,
32.0312,,Spine,2,4,Image 1,4,1,100000000,610000003131,
25.0312,,Spine,2,2,Image 1,2,1,100000002,610000003133,
41.0156,,Spine,2,7,Image 1,5,1,100000002,610000003136,
100.062,,Spine,2,0,Image 1,1,1,100000002,610000003142,
25.0156,,Spine,2,4,Image 1,2,1,100000001,610000003144,
34.0625,,Spine,2,1,Image 1,2,1,100000002,610000003146,
27.0156,,Spine,2,3,Image 1,2,1,100000001,610000003148,
23.0156,,Spine,2,1,Image 1,2,1,100000000,610000003150,
58.0625,,Spine,2,1,Image 1,1,1,100000001,610000003153,
38.0625,,Spine,2,1,Image 1,2,1,100000001,610000003157,
30.0312,,Spine,2,4,Image 1,3,1,100000002,610000003160,
12.125,,Spine,2,3,Image 1,2,1,100000002,610000003163,
99.0312,,Spine,2,0,Image 1,1,1,100000001,610000003168,
32.0625,,Spine,2,2,Image 1,2,1,100000002,610000003170,
21.0312,,Spine,2,2,Image 1,2,1,100000000,610000003172,
47.0156,,Spine,2,0,Image 1,1,1,100000000,610000003176,
15.0625,,Spine,2,4,Image 1,3,1,100000002,610000003178,
19.0625,,Spine,2,5,Image 1,1,1,100000002,610000003181,
23.5625,,Spine,2,0,Image 1,1,1,100000002,610000003184,
19.0312,,Spine,2,2,Image 1,3,1,100000001,610000003186,
34.0625,,Spine,2,3,Image 1,2,1,100000000,610000003188,
44.5625,,Spine,2,1,Image 1,1,1,100000002,610000003191,
94.0312,,Spine,2,3,Image 1,2,1,100000002,610000003196,
46.0625,,Spine,2,3,Image 1,1,1,100000001,610000003198,
31.0625,,Spine,2,0,Image 1,1,1,100000000,610000003200,
26.0312,,Spine,2,7,Image 1,4,1,100000002,610000003203,
28.0625,,Spine,2,4,Image 1,2,1,100000002,610000003205,
32.0625,,Spine,2,1,Image 1,1,1,100000000,610000003208,
25.0312,,Spine,2,3,Image 1,3,1,100000001,610000003212,
43.0625,,Spine,2,1,Image 1,1,1,100000002,610000003217,
50.0625,,Spine,2,1,Image 1,1,1,100000002,610000003219,
40.5625,,Spine,2,5,Image 1,2,1,100000002,610000003222,
25.0312,,Spine,2,4,Image 1,2,1,100000002,610000003224,
29.5625,,Spine,2,0,Image 1,1,1,100000002,610000003230,
33.5625,,Spine,2,7,Image 1,3,1,100000000,610000003233,
31.0312,,Spine,2,1,Image 1,2,1,100000001,610000003235,
44.0625,,Spine,2,5,Image 1,2,1,100000001,610000003237,
44.5625,,Spine,2,1,Image 1,2,1,100000002,610000003240,
19.0078,,Spine,2,2,Image 1,2,1,100000002,610000003242,
24.0312,,Spine,2,3,Image 1,1,1,100000002,610000003244,
21.0312,,Spine,2,4,Image 1,2,1,100000001,610000003248,
25.0625,,Spine,2,2,Image 1,2,1,100000002,610000003250,
27.5625,,Spine,2,4,Image 1,2,1,100000001,610000003253,
22.0625,,Spine,2,4,Image 1,3,1,100000002,610000003258,
44.0156,,Spine,2,0,Image 1,1,1,100000000,610000003261,
45.0312,,Spine,2,0,Image 1,1,1,100000001,610000003264,
63.0625,,Spine,2,5,Image 1,3,1,100000002,610000003268,
19.0625,,Spine,2,1,Image 1,1,1,100000001,610000003270,
31.0625,,Spine,2,5,Image 1,4,1,100000002,610000003272,
74.0312,,Spine,2,0,Image 1,1,1,100000000,610000003276,
77.5312,,Spine,2,0,Image 1,1,1,100000002,610000003282,
21.0625,,Spine,2,1,Image 1,2,1,100000002,610000003284,
44.0625,,Spine,2,0,Image 1,1,1,100000002,610000003287,
50.0312,,Spine,2,2,Image 1,2,1,100000002,610000003289,
60.0078,,Spine,2,0,Image 1,1,1,100000002,610000003294,
29.0625,,Spine,2,2,Image 1,2,1,100000002,610000003300,
81.0625,,Spine,2,0,Image 1,1,1,100000001,610000003306,
27.0156,,Spine,2,5,Image 1,3,1,100000002,610000003308,
39.5312,,Spine,2,1,Image 1,1,1,100000002,610000003311,
32.0625,,Spine,2,5,Image 1,1,1,100000002,610000003313,
24.0625,,Spine,2,2,Image 1,1,1,100000002,610000003315,
56.5312,,Spine,2,0,Image 1,1,1,100000000,610000003318,
18.0625,,Spine,2,4,Image 1,2,1,100000001,610000003321,
