
Spine Part Volume
 ==================== 
Spine Part Volume Ground,Spine Part Volume Head,Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0114236,0.00364275,0,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000005818,
0.050953,0.0324456,0,µm^3,Spine,Spine Part Volume,4,1,1,100000002,610000005845,
0.0105763,0.00123203,0,µm^3,Spine,Spine Part Volume,4,1,1,100000003,610000005897,
0.0137287,0.0329136,0.0159425,µm^3,Spine,Spine Part Volume,4,2,1,100000001,610000005245,
0.0137287,0.0310863,0.0155949,µm^3,Spine,Spine Part Volume,4,2,1,100000001,610000005257,
0.0106147,0.0204243,0.0176738,µm^3,Spine,Spine Part Volume,4,2,1,100000001,610000005268,
0.00616705,0.00379142,0.00466874,µm^3,Spine,Spine Part Volume,4,2,1,100000001,610000005278,
0.0428621,0.00203764,0.00784877,µm^3,Spine,Spine Part Volume,4,2,1,100000001,610000005362,
0.0207087,0.00112339,0,µm^3,Spine,Spine Part Volume,4,2,1,100000003,610000005507,
0.0186897,0.00333725,0,µm^3,Spine,Spine Part Volume,4,2,1,100000000,610000005545,
0.0105854,0.00275851,0,µm^3,Spine,Spine Part Volume,4,2,1,100000000,610000005800,
0.031386,0.0168269,0,µm^3,Spine,Spine Part Volume,4,2,1,100000000,610000005801,
0.0160167,0.00610661,0,µm^3,Spine,Spine Part Volume,4,2,1,100000001,610000005824,
0.0150027,0.00279025,0,µm^3,Spine,Spine Part Volume,4,2,1,100000001,610000005825,
0.0180632,0.00389176,0,µm^3,Spine,Spine Part Volume,4,2,1,100000002,610000005841,
0.0343481,0.0121711,0,µm^3,Spine,Spine Part Volume,4,2,1,100000003,610000005891,
0.0343481,0.0121711,0,µm^3,Spine,Spine Part Volume,4,2,1,100000003,610000005892,
0.0270534,0.0132537,0,µm^3,Spine,Spine Part Volume,4,2,1,100000003,610000005893,
0.0174323,0.0041362,0,µm^3,Spine,Spine Part Volume,4,3,1,100000001,610000005513,
0.0243693,0.0171514,0,µm^3,Spine,Spine Part Volume,4,3,1,100000000,610000005777,
0.0130551,0.0044754,0,µm^3,Spine,Spine Part Volume,4,3,1,100000001,610000005828,
0.0187292,0.00978587,0,µm^3,Spine,Spine Part Volume,4,3,1,100000001,610000005829,
0.0149846,0.00379142,0,µm^3,Spine,Spine Part Volume,4,4,1,100000000,610000005377,
0.0150383,0.00379142,0,µm^3,Spine,Spine Part Volume,4,4,1,100000003,610000005688,
0.0126748,0.0041927,0,µm^3,Spine,Spine Part Volume,4,4,1,100000001,610000005827,
0.0596987,0.0311325,0,µm^3,Spine,Spine Part Volume,5,1,1,100000002,610000005844,
0.0155756,0.00302106,0,µm^3,Spine,Spine Part Volume,5,2,1,100000000,610000005602,
0.011875,0.00257796,0,µm^3,Spine,Spine Part Volume,5,2,1,100000001,610000005823,
0.0804695,0.0505446,0,µm^3,Spine,Spine Part Volume,5,2,1,100000002,610000005842,
0.0320488,0.0055961,0.011303,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000005285,
0.017739,0.00483395,0.00314858,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000005290,
0.0320257,0.00182574,0.00990474,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000005342,
0.0255305,0.00723607,0,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000005402,
0.0286529,0.00379142,0,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000005485,
0.0229303,0.00960091,0,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000005776,
0.0175011,0.00592637,0,µm^3,Spine,Spine Part Volume,5,3,1,100000001,610000005822,
0.0109105,0.00361646,0,µm^3,Spine,Spine Part Volume,5,3,1,100000003,610000005872,
0.00603713,0.00112339,0,µm^3,Spine,Spine Part Volume,5,3,1,100000003,610000005873,
0.0186859,0.00441522,0,µm^3,Spine,Spine Part Volume,5,3,1,100000003,610000005874,
0.00936174,0.00112339,0,µm^3,Spine,Spine Part Volume,5,4,1,100000000,610000005321,
0.0171611,0.00145014,0,µm^3,Spine,Spine Part Volume,5,4,1,100000000,610000005450,
0.00724298,0.00317163,0,µm^3,Spine,Spine Part Volume,5,4,1,100000000,610000005789,
0.00459165,0.00112339,0,µm^3,Spine,Spine Part Volume,5,4,1,100000000,610000005797,
0.00691974,0.00119075,0,µm^3,Spine,Spine Part Volume,5,4,1,100000000,610000005798,
0.0159254,0.00346977,0,µm^3,Spine,Spine Part Volume,5,4,1,100000000,610000005799,
0.0173507,0.00632694,0,µm^3,Spine,Spine Part Volume,6,1,1,100000000,610000005781,
0.0121229,0.00138148,0,µm^3,Spine,Spine Part Volume,6,2,1,100000001,610000005400,
0.0232568,0.00365059,0,µm^3,Spine,Spine Part Volume,6,2,1,100000001,610000005455,
0.00739944,0.00151555,0,µm^3,Spine,Spine Part Volume,6,2,1,100000002,610000005584,
0.0154718,0.00360655,0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000005784,
0.00870059,0.00208942,0,µm^3,Spine,Spine Part Volume,6,2,1,100000000,610000005785,
0.0140005,0.00206311,0,µm^3,Spine,Spine Part Volume,6,3,1,100000003,610000005540,
0.010773,0.00112339,0,µm^3,Spine,Spine Part Volume,6,3,1,100000000,610000005811,
0.00602386,0.00201882,0,µm^3,Spine,Spine Part Volume,6,3,1,100000002,610000005839,
0.0167654,0.0025861,0.00627476,µm^3,Spine,Spine Part Volume,6,4,1,100000003,610000005324,
0.0115476,0.00213225,0,µm^3,Spine,Spine Part Volume,6,4,1,100000003,610000005390,
0.009833,0.00115229,0,µm^3,Spine,Spine Part Volume,6,4,1,100000003,610000005465,
0.0198526,0.00206676,0,µm^3,Spine,Spine Part Volume,6,4,1,100000003,610000005503,
0.0162161,0.00994276,0,µm^3,Spine,Spine Part Volume,6,4,1,100000003,610000005869,
0.0375985,0.015556,0,µm^3,Spine,Spine Part Volume,6,4,1,100000003,610000005870,
0.0100197,0.00180789,0,µm^3,Spine,Spine Part Volume,6,4,1,100000003,610000005871,
0.0287064,0.0145405,0,µm^3,Spine,Spine Part Volume,7,2,1,100000002,610000005843,
0.0222761,0.00191855,0,µm^3,Spine,Spine Part Volume,7,3,1,100000000,610000005433,
0.0109462,0.00130747,0,µm^3,Spine,Spine Part Volume,7,3,1,100000000,610000005582,
0.0183312,0.00211038,0,µm^3,Spine,Spine Part Volume,7,3,1,100000002,610000005634,
0.00635529,0.00148291,0,µm^3,Spine,Spine Part Volume,7,3,1,100000000,610000005782,
0.0157867,0.00238986,0,µm^3,Spine,Spine Part Volume,7,3,1,100000000,610000005810,
0.00927588,0.00189673,0,µm^3,Spine,Spine Part Volume,7,3,1,100000002,610000005840,
0.0154857,0.0340687,0.00981751,µm^3,Spine,Spine Part Volume,7,4,1,100000003,610000005300,
0.0122794,0.00341545,0.00222896,µm^3,Spine,Spine Part Volume,7,4,1,100000001,610000005317,
0.020215,0.00993554,0.0133182,µm^3,Spine,Spine Part Volume,7,4,1,100000003,610000005357,
0.0203497,0.0277892,0,µm^3,Spine,Spine Part Volume,7,4,1,100000003,610000005426,
0.0121906,0.00159951,0,µm^3,Spine,Spine Part Volume,7,4,1,100000001,610000005610,
0.0116678,0.00333575,0,µm^3,Spine,Spine Part Volume,7,4,1,100000003,610000005865,
0.0128523,0.00379142,0,µm^3,Spine,Spine Part Volume,7,4,1,100000003,610000005868,
0.0087821,0.00275602,0,µm^3,Spine,Spine Part Volume,7,4,1,100000003,610000005875,
0.00880632,0.00336639,0,µm^3,Spine,Spine Part Volume,7,5,1,100000003,610000005304,
0.0106541,0.00123203,0,µm^3,Spine,Spine Part Volume,7,5,1,100000003,610000005866,
0.00485146,0.00277356,0,µm^3,Spine,Spine Part Volume,7,5,1,100000003,610000005867,
0.0225617,0.00123203,0,µm^3,Spine,Spine Part Volume,8,3,1,100000001,610000005429,
0.016675,0.00112339,0,µm^3,Spine,Spine Part Volume,8,4,1,100000000,610000005335,
0.00957711,0.00296955,0,µm^3,Spine,Spine Part Volume,8,4,1,100000000,610000005796,
0.0196641,0.00379142,0.00459354,µm^3,Spine,Spine Part Volume,9,3,1,100000001,610000005588,
0.0110051,0.00159951,0,µm^3,Spine,Spine Part Volume,9,3,1,100000000,610000005809,
0.0144206,0.0176115,0.0168806,µm^3,Spine,Spine Part Volume,9,4,1,100000000,610000005309,
0.00779871,0.00421278,0,µm^3,Spine,Spine Part Volume,9,4,1,100000000,610000005542,
0.0112845,0.00387481,0,µm^3,Spine,Spine Part Volume,9,4,1,100000000,610000005794,
0.0103345,0.00146911,0,µm^3,Spine,Spine Part Volume,9,4,1,100000000,610000005795,
0.0134869,0.00178921,0.00327867,µm^3,Spine,Spine Part Volume,9,5,1,100000000,610000005333,
0.0265876,0.0161969,0,µm^3,Spine,Spine Part Volume,9,5,1,100000000,610000005775,
0.00170184,0.00153368,0,µm^3,Spine,Spine Part Volume,9,5,1,100000003,610000005864,
