
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.963721,,Segment,6,2,1,100000001,510000004021,
0.758079,,Segment,2,2,1,100000001,510000004032,
0.933471,,Segment,1,2,1,100000001,510000004053,
0.963768,,Segment,5,2,1,100000002,510000004065,
0.998367,,Segment,8,3,1,100000001,510000004071,
0.993788,,Segment,2,3,1,100000001,510000004074,
0.994279,,Segment,7,3,1,100000001,510000004076,
0.996006,,Segment,8,4,1,100000001,510000004081,
0.987583,,Segment,9,2,1,100000003,510000004087,
0.991723,,Segment,6,3,1,100000003,510000004097,
0.896262,,Segment,6,4,1,100000003,510000004106,
0.995574,,Segment,5,3,1,100000003,510000004108,
0.884607,,Segment,10,2,1,100000001,510000004114,
0.977938,,Segment,7,3,1,100000003,510000004122,
0.716922,,Segment,4,2,1,100000001,510000004166,
0.980233,,Segment,3,2,1,100000001,510000004172,
0.866241,,Segment,2,2,1,100000001,510000004203,
0.951987,,Segment,1,2,1,100000001,510000004218,
0.971402,,Segment,5,2,1,100000002,510000004225,
0.832532,,Segment,11,3,1,100000002,510000004270,
0.976416,,Segment,10,2,1,100000002,510000004273,
0.984766,,Segment,9,2,1,100000002,510000004290,
0.997112,,Segment,8,2,1,100000002,510000004294,
0.965937,,Segment,7,2,1,100000002,510000004297,
0.987207,,Segment,6,2,1,100000002,510000004303,
0.984514,,Segment,5,1,1,100000002,510000004306,
0.970706,,Segment,4,1,1,100000002,510000004311,
0.9866,,Segment,3,1,1,100000002,510000004316,
0.971319,,Segment,2,1,1,100000002,510000004329,
0.999629,,Segment,1,1,1,100000002,510000004331,
0.951992,,Segment,0,1,1,100000002,510000004357,
0.976508,,Segment,11,2,1,100000001,510000004374,
0.977414,,Segment,3,3,1,100000003,510000004408,
0.872729,,Segment,2,3,1,100000001,510000004464,
0.91492,,Segment,2,2,1,100000000,510000004479,
0.996191,,Segment,1,1,1,100000000,510000004483,
0.977503,,Segment,0,1,1,100000000,510000004497,
0.874924,,Segment,8,3,1,100000002,510000004560,
0.992204,,Segment,5,3,1,100000001,510000004563,
0.986415,,Segment,1,2,1,100000005,510000004575,
0.921387,,Segment,6,3,1,100000003,510000004577,
0.962817,,Segment,1,1,1,100000006,510000004599,
0.981521,,Segment,9,2,1,100000001,510000004604,
0.980935,,Segment,6,2,1,100000001,510000004615,
0.988319,,Segment,2,1,1,100000000,510000004626,
0.994254,,Segment,11,2,1,100000002,510000004632,
0.956983,,Segment,3,2,1,100000004,510000004641,
0.904199,,Segment,2,2,1,100000004,510000004667,
0.992824,,Segment,1,2,1,100000004,510000004673,
0.983822,,Segment,0,1,1,100000004,510000004685,
0.927703,,Segment,1,1,1,100000005,510000004751,
0.96088,,Segment,3,2,1,100000001,510000004764,
0.978207,,Segment,4,3,1,100000003,510000004770,
0.863997,,Segment,4,4,1,100000006,510000004796,
0.98943,,Segment,4,3,1,100000001,510000004802,
0.986584,,Segment,8,2,1,100000001,510000004806,
0.998863,,Segment,5,4,1,100000001,510000004810,
0.932373,,Segment,3,3,1,100000001,510000004824,
0.973907,,Segment,5,2,1,100000001,510000004828,
0.886206,,Segment,3,2,1,100000002,510000004836,
0.832435,,Segment,3,4,1,100000006,510000004864,
0.839649,,Segment,3,3,1,100000004,510000004875,
0.987186,,Segment,1,2,1,100000000,510000004877,
0.881826,,Segment,2,2,1,100000002,510000004900,
0.955991,,Segment,4,2,1,100000001,510000004922,
0.997235,,Segment,3,2,1,100000002,510000004928,
0.979191,,Segment,2,1,1,100000001,510000004937,
0.980767,,Segment,3,3,1,100000001,510000004950,
0.974505,,Segment,8,4,1,100000006,510000004957,
0.648469,,Segment,7,4,1,100000006,510000004986,
0.994919,,Segment,6,3,1,100000006,510000004990,
0.969483,,Segment,5,3,1,100000006,510000004998,
0.992277,,Segment,5,2,1,100000002,510000005003,
0.863348,,Segment,4,3,1,100000001,510000005012,
0.863581,,Segment,3,1,1,100000004,510000005041,
0.962233,,Segment,2,1,1,100000004,510000005055,
0.971752,,Segment,1,1,1,100000004,510000005058,
0.989472,,Segment,0,1,1,100000004,510000005063,
0.957316,,Segment,2,3,1,100000001,510000005066,
0.954607,,Segment,2,2,1,100000002,510000005078,
0.951079,,Segment,6,1,1,100000002,510000005083,
0.728711,,Segment,4,2,1,100000004,510000005096,
0.964632,,Segment,3,2,1,100000004,510000005098,
0.967016,,Segment,2,2,1,100000004,510000005110,
0.990753,,Segment,1,1,1,100000004,510000005119,
0.992228,,Segment,0,1,1,100000004,510000005138,
0.997901,,Segment,7,3,1,100000002,510000005141,
0.979305,,Segment,4,3,1,100000002,510000005148,
0.951333,,Segment,3,2,1,100000002,510000005167,
0.972039,,Segment,4,2,1,100000002,510000005174,
0.978772,,Segment,2,3,1,100000003,510000005179,
0.970426,,Segment,5,3,1,100000006,510000005193,
0.987515,,Segment,4,2,1,100000006,510000005200,
0.995344,,Segment,3,2,1,100000006,510000005204,
0.978354,,Segment,2,2,1,100000006,510000005206,
0.983546,,Segment,1,2,1,100000002,510000005211,
0.858295,,Segment,0,1,1,100000002,510000005246,
0.997797,,Segment,3,3,1,100000001,510000005251,
0.981779,,Segment,3,3,1,100000004,510000005257,
0.761394,,Segment,2,2,1,100000004,510000005265,
0.998552,,Segment,0,1,1,100000006,510000005277,
0.935452,,Segment,0,1,1,100000000,510000005300,
0.975393,,Segment,4,2,1,100000002,510000005308,
0.963052,,Segment,0,1,1,100000003,510000005321,
0.961727,,Segment,1,2,1,100000001,510000005357,
0.982136,,Segment,8,4,1,100000006,510000005361,
0.966428,,Segment,7,3,1,100000006,510000005364,
0.91262,,Segment,3,2,1,100000004,510000005369,
0.987735,,Segment,0,1,1,100000005,510000005373,
0.91661,,Segment,1,1,1,100000002,510000005385,
0.956369,,Segment,2,2,1,100000002,510000005405,
0.965259,,Segment,1,2,1,100000002,510000005419,
0.955824,,Segment,6,4,1,100000006,510000005427,
0.784644,,Segment,2,3,1,100000002,510000005463,
0.975501,,Segment,1,1,1,100000003,510000005472,
0.861228,,Segment,3,4,1,100000004,510000005484,
0.989304,,Segment,3,3,1,100000001,510000005489,
0.945312,,Segment,0,1,1,100000003,510000005529,
0.963824,,Segment,2,2,1,100000001,510000005540,
0.778286,,Segment,0,1,1,100000004,510000005583,
0.98161,,Segment,0,1,1,100000003,510000005600,
0.958482,,Segment,1,2,1,100000002,510000005620,
0.998081,,Segment,3,3,1,100000004,510000005622,
0.966457,,Segment,5,2,1,100000006,510000005625,
0.999024,,Segment,3,1,1,100000001,510000005628,
0.961619,,Segment,1,1,1,100000001,510000005635,
0.962352,,Segment,0,1,1,100000001,510000005655,
0.905392,,Segment,3,2,1,100000001,510000005658,
0.966248,,Segment,1,2,1,100000001,510000005663,
0.992424,,Segment,0,1,1,100000005,510000005667,
0.992615,,Segment,0,1,1,100000005,510000005671,
0.991562,,Segment,4,3,1,100000006,510000005679,
0.958862,,Segment,1,2,1,100000002,510000005686,
0.947438,,Segment,0,1,1,100000002,510000005704,
0.996768,,Segment,2,2,1,100000002,510000005729,
0.947747,,Segment,1,2,1,100000001,510000005743,
0.957541,,Segment,2,2,1,100000001,510000005755,
0.972896,,Segment,4,2,1,100000001,510000005770,
0.949354,,Segment,3,1,1,100000001,510000005775,
0.945573,,Segment,0,1,1,100000004,510000005783,
0.890061,,Segment,0,1,1,100000001,510000005822,
1,,Segment,0,1,1,100000006,510000005837,
0.978794,,Segment,4,3,1,100000006,510000005843,
0.87229,,Segment,0,1,1,100000000,510000005857,
0.824492,,Segment,3,2,1,100000002,510000005865,
0.992599,,Segment,2,1,1,100000002,510000005872,
0.989831,,Segment,2,2,1,100000004,510000005875,
1,,Segment,0,1,1,100000001,510000005891,
0.943815,,Segment,3,2,1,100000004,510000005901,
0.940668,,Segment,2,1,1,100000004,510000005915,
0.996657,,Segment,4,1,1,100000001,510000005917,
0.978939,,Segment,3,1,1,100000002,510000005930,
0.993026,,Segment,3,1,1,100000004,510000005935,
0.99719,,Segment,0,1,1,100000002,510000005945,
0.995263,,Segment,2,3,1,100000004,510000005950,
0.957219,,Segment,1,2,1,100000002,510000005959,
0.978196,,Segment,0,1,1,100000002,510000005975,
0.963375,,Segment,0,1,1,100000004,510000005985,
0.993608,,Segment,1,1,1,100000004,510000005989,
0.992706,,Segment,3,3,1,100000006,510000005992,
0.97591,,Segment,2,1,1,100000004,510000006001,
0.989747,,Segment,1,1,1,100000004,510000006005,
0.980679,,Segment,0,1,1,100000004,510000006013,
0.976639,,Segment,1,1,1,100000006,510000006020,
0.997122,,Segment,0,1,1,100000002,510000006074,
0.658206,,Segment,0,1,1,100000006,510000006087,
0.998835,,Segment,1,2,1,100000004,510000006091,
0.955206,,Segment,1,2,1,100000004,510000006100,
0.990393,,Segment,1,2,1,100000004,510000006110,
0.983025,,Segment,0,1,1,100000004,510000006119,
0.998612,,Segment,0,1,1,100000002,510000006154,
1,,Segment,6,1,1,100000001,510000006170,
1,,Segment,4,2,1,100000001,510000006171,
1,,Segment,2,1,1,100000001,510000006172,
1,,Segment,7,2,1,100000001,510000006173,
1,,Segment,4,3,1,100000001,510000006174,
1,,Segment,2,2,1,100000001,510000006175,
1,,Segment,4,2,1,100000001,510000006176,
1,,Segment,7,4,1,100000001,510000006177,
1,,Segment,6,5,1,100000001,510000006178,
1,,Segment,10,1,1,100000001,510000006179,
1,,Segment,13,6,1,100000001,510000006180,
1,,Segment,9,2,1,100000001,510000006181,
1,,Segment,2,2,1,100000001,510000006182,
1,,Segment,2,2,1,100000001,510000006183,
1,,Segment,5,1,1,100000002,510000006186,
1,,Segment,10,3,1,100000002,510000006187,
1,,Segment,9,3,1,100000002,510000006188,
1,,Segment,0,1,1,100000002,510000006190,
1,,Segment,8,2,1,100000003,510000006191,
1,,Segment,16,4,1,100000003,510000006192,
1,,Segment,1,1,1,100000004,510000006194,
1,,Segment,4,3,1,100000004,510000006196,
1,,Segment,3,2,1,100000004,510000006197,
1,,Segment,1,1,1,100000004,510000006198,
1,,Segment,2,2,1,100000004,510000006199,
1,,Segment,4,3,1,100000004,510000006200,
1,,Segment,0,1,1,100000005,510000006201,
1,,Segment,2,2,1,100000006,510000006208,
1,,Segment,6,4,1,100000006,510000006209,
1,,Segment,7,2,1,100000006,510000006210,
1,,Segment,9,2,1,100000006,510000006211,
1,,Segment,8,5,1,100000006,510000006214,
1,,Segment,8,3,1,100000006,510000006215,
