
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6,,Spine,2,4,Image 1,2,1,100000004,610000007871,
6,,Spine,2,2,Image 1,2,1,100000004,610000007872,
4,,Spine,2,3,Image 1,1,1,100000004,610000007873,
6,,Spine,2,2,Image 1,1,1,100000004,610000007874,
6,,Spine,2,0,Image 1,1,1,100000005,610000007875,
11,,Spine,2,11,Image 1,8,1,100000006,610000007883,
14,,Spine,2,10,Image 1,7,1,100000006,610000007884,
19,,Spine,2,12,Image 1,6,1,100000006,610000007885,
7,,Spine,2,12,Image 1,6,1,100000006,610000007886,
5,,Spine,2,11,Image 1,6,1,100000006,610000007887,
9,,Spine,2,11,Image 1,6,1,100000006,610000007888,
3,,Spine,2,9,Image 1,6,1,100000006,610000007889,
8,,Spine,2,10,Image 1,3,1,100000006,610000007890,
4,,Spine,2,6,Image 1,2,1,100000006,610000007891,
8,,Spine,2,3,Image 1,2,1,100000006,610000007892,
1,,Spine,2,1,Image 1,2,1,100000006,610000007893,
6,,Spine,2,1,Image 1,2,1,100000006,610000007894,
21,,Spine,2,1,Image 1,2,1,100000006,610000007895,
6,,Spine,2,1,Image 1,2,1,100000006,610000007896,
31,,Spine,2,1,Image 1,1,1,100000006,610000007897,
25,,Spine,2,1,Image 1,1,1,100000006,610000007898,
28,,Spine,2,1,Image 1,1,1,100000006,610000007899,
5,,Spine,2,1,Image 1,2,1,100000006,610000007906,
5,,Spine,2,1,Image 1,2,1,100000006,610000007907,
12,,Spine,2,1,Image 1,1,1,100000006,610000007908,
2,,Spine,2,5,Image 1,4,1,100000006,610000007920,
4,,Spine,2,8,Image 1,4,1,100000006,610000007921,
23,,Spine,2,7,Image 1,4,1,100000006,610000007922,
11,,Spine,2,6,Image 1,3,1,100000006,610000007923,
17,,Spine,2,5,Image 1,3,1,100000006,610000007924,
4,,Spine,2,4,Image 1,4,1,100000006,610000007925,
3,,Spine,2,3,Image 1,4,1,100000006,610000007926,
16,,Spine,2,2,Image 1,3,1,100000006,610000007927,
14,,Spine,2,2,Image 1,3,1,100000006,610000007928,
6,,Spine,2,5,Image 1,2,1,100000006,610000007929,
11,,Spine,2,4,Image 1,3,1,100000006,610000007930,
16,,Spine,2,4,Image 1,3,1,100000006,610000007931,
1,,Spine,2,4,Image 1,2,1,100000006,610000007932,
2,,Spine,2,4,Image 1,2,1,100000006,610000007933,
1,,Spine,2,3,Image 1,3,1,100000006,610000007934,
3,,Spine,2,3,Image 1,3,1,100000006,610000007935,
14,,Spine,2,2,Image 1,2,1,100000006,610000007936,
8,,Spine,2,1,Image 1,2,1,100000006,610000007937,
15,,Spine,2,1,Image 1,2,1,100000006,610000007938,
22,,Spine,2,1,Image 1,1,1,100000006,610000007939,
18,,Spine,2,0,Image 1,1,1,100000006,610000007940,
