
Segment Center Intensity Sum Ch=4 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
8,,Segment,4,3,Image 1,1,1,100000005,510000003487,
4,,Segment,4,14,Image 1,4,1,100000003,510000003494,
27,,Segment,4,7,Image 1,4,1,100000001,510000003521,
12,,Segment,4,6,Image 1,4,1,100000001,510000003529,
75,,Segment,4,5,Image 1,3,1,100000001,510000003573,
7,,Segment,4,4,Image 1,3,1,100000001,510000003582,
26,,Segment,4,3,Image 1,2,1,100000001,510000003591,
129,,Segment,4,2,Image 1,2,1,100000001,510000003620,
1,,Segment,4,1,Image 1,1,1,100000001,510000003622,
1,,Segment,4,0,Image 1,1,1,100000001,510000003628,
24,,Segment,4,14,Image 1,4,1,100000001,510000003631,
2,,Segment,4,9,Image 1,4,1,100000001,510000003639,
5,,Segment,4,8,Image 1,3,1,100000001,510000003646,
4,,Segment,4,7,Image 1,3,1,100000001,510000003656,
19,,Segment,4,6,Image 1,3,1,100000001,510000003677,
21,,Segment,4,5,Image 1,3,1,100000001,510000003717,
7,,Segment,4,6,Image 1,3,1,100000001,510000003720,
6,,Segment,4,5,Image 1,2,1,100000001,510000003723,
1,,Segment,4,14,Image 1,5,1,100000003,510000003730,
11,,Segment,4,7,Image 1,5,1,100000001,510000003733,
0,,Segment,4,13,Image 1,5,1,100000003,510000003737,
4,,Segment,4,13,Image 1,5,1,100000001,510000003739,
3,,Segment,4,2,Image 1,2,1,100000005,510000003749,
1,,Segment,4,9,Image 1,3,1,100000001,510000003751,
9,,Segment,4,11,Image 1,4,1,100000003,510000003772,
4,,Segment,4,6,Image 1,2,1,100000001,510000003774,
0,,Segment,4,11,Image 1,5,1,100000001,510000003776,
7,,Segment,4,6,Image 1,3,1,100000001,510000003780,
1,,Segment,4,8,Image 1,4,1,100000001,510000003783,
69,,Segment,4,10,Image 1,3,1,100000001,510000003791,
40,,Segment,4,7,Image 1,2,1,100000001,510000003820,
14,,Segment,4,6,Image 1,2,1,100000001,510000003832,
4,,Segment,4,5,Image 1,2,1,100000001,510000003837,
7,,Segment,4,4,Image 1,2,1,100000001,510000003843,
167,,Segment,4,3,Image 1,2,1,100000001,510000003896,
1,,Segment,4,2,Image 1,1,1,100000001,510000003898,
16,,Segment,4,8,Image 1,5,1,100000001,510000003916,
4,,Segment,4,6,Image 1,3,1,100000001,510000003925,
1,,Segment,4,9,Image 1,3,1,100000003,510000003932,
18,,Segment,4,10,Image 1,4,1,100000003,510000003940,
4,,Segment,4,14,Image 1,2,1,100000001,510000003945,
7,,Segment,4,13,Image 1,1,1,100000001,510000003953,
2,,Segment,4,7,Image 1,4,1,100000001,510000003956,
2,,Segment,4,14,Image 1,1,1,100000001,510000003959,
4,,Segment,4,6,Image 1,4,1,100000001,510000003966,
20,,Segment,4,12,Image 1,2,1,100000001,510000003988,
1,,Segment,4,2,Image 1,3,1,100000005,510000003990,
24,,Segment,4,7,Image 1,3,1,100000001,510000004009,
4,,Segment,4,4,Image 1,3,1,100000001,510000004011,
10,,Segment,4,7,Image 1,3,1,100000001,510000004019,
0,,Segment,4,6,Image 1,2,1,100000001,510000004021,
10,,Segment,4,2,Image 1,2,1,100000001,510000004032,
35,,Segment,4,1,Image 1,2,1,100000001,510000004053,
3,,Segment,4,5,Image 1,2,1,100000002,510000004065,
30,,Segment,4,8,Image 1,3,1,100000001,510000004071,
1,,Segment,4,2,Image 1,3,1,100000001,510000004074,
1,,Segment,4,7,Image 1,3,1,100000001,510000004076,
7,,Segment,4,8,Image 1,4,1,100000001,510000004081,
15,,Segment,4,9,Image 1,2,1,100000003,510000004087,
3,,Segment,4,6,Image 1,3,1,100000003,510000004097,
3,,Segment,4,6,Image 1,4,1,100000003,510000004106,
2,,Segment,4,5,Image 1,3,1,100000003,510000004108,
60,,Segment,4,10,Image 1,2,1,100000001,510000004114,
10,,Segment,4,7,Image 1,3,1,100000003,510000004122,
88,,Segment,4,4,Image 1,2,1,100000001,510000004166,
8,,Segment,4,3,Image 1,2,1,100000001,510000004172,
32,,Segment,4,2,Image 1,2,1,100000001,510000004203,
11,,Segment,4,1,Image 1,2,1,100000001,510000004218,
3,,Segment,4,5,Image 1,2,1,100000002,510000004225,
