
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Segment,0,1,1,100000001,510000005891,
3,,Segment,3,2,1,100000004,510000005901,
2,,Segment,2,1,1,100000004,510000005915,
4,,Segment,4,1,1,100000001,510000005917,
3,,Segment,3,1,1,100000002,510000005930,
3,,Segment,3,1,1,100000004,510000005935,
0,,Segment,0,1,1,100000002,510000005945,
2,,Segment,2,3,1,100000004,510000005950,
1,,Segment,1,2,1,100000002,510000005959,
0,,Segment,0,1,1,100000002,510000005975,
0,,Segment,0,1,1,100000004,510000005985,
1,,Segment,1,1,1,100000004,510000005989,
3,,Segment,3,3,1,100000006,510000005992,
2,,Segment,2,1,1,100000004,510000006001,
1,,Segment,1,1,1,100000004,510000006005,
0,,Segment,0,1,1,100000004,510000006013,
1,,Segment,1,1,1,100000006,510000006020,
0,,Segment,0,1,1,100000002,510000006074,
0,,Segment,0,1,1,100000006,510000006087,
1,,Segment,1,2,1,100000004,510000006091,
1,,Segment,1,2,1,100000004,510000006100,
1,,Segment,1,2,1,100000004,510000006110,
0,,Segment,0,1,1,100000004,510000006119,
0,,Segment,0,1,1,100000002,510000006154,
6,,Segment,6,1,1,100000001,510000006170,
4,,Segment,4,2,1,100000001,510000006171,
2,,Segment,2,1,1,100000001,510000006172,
7,,Segment,7,2,1,100000001,510000006173,
4,,Segment,4,3,1,100000001,510000006174,
2,,Segment,2,2,1,100000001,510000006175,
4,,Segment,4,2,1,100000001,510000006176,
7,,Segment,7,4,1,100000001,510000006177,
6,,Segment,6,5,1,100000001,510000006178,
10,,Segment,10,1,1,100000001,510000006179,
13,,Segment,13,6,1,100000001,510000006180,
9,,Segment,9,2,1,100000001,510000006181,
2,,Segment,2,2,1,100000001,510000006182,
2,,Segment,2,2,1,100000001,510000006183,
5,,Segment,5,1,1,100000002,510000006186,
10,,Segment,10,3,1,100000002,510000006187,
9,,Segment,9,3,1,100000002,510000006188,
0,,Segment,0,1,1,100000002,510000006190,
8,,Segment,8,2,1,100000003,510000006191,
16,,Segment,16,4,1,100000003,510000006192,
1,,Segment,1,1,1,100000004,510000006194,
4,,Segment,4,3,1,100000004,510000006196,
3,,Segment,3,2,1,100000004,510000006197,
1,,Segment,1,1,1,100000004,510000006198,
2,,Segment,2,2,1,100000004,510000006199,
4,,Segment,4,3,1,100000004,510000006200,
0,,Segment,0,1,1,100000005,510000006201,
2,,Segment,2,2,1,100000006,510000006208,
6,,Segment,6,4,1,100000006,510000006209,
7,,Segment,7,2,1,100000006,510000006210,
9,,Segment,9,2,1,100000006,510000006211,
8,,Segment,8,5,1,100000006,510000006214,
8,,Segment,8,3,1,100000006,510000006215,
