
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
118,,Segment,5,3,Image 1,3,1,100000001,510000004929,
73,,Segment,5,3,Image 1,1,1,100000002,510000004930,
102,,Segment,5,5,Image 1,1,1,100000002,510000004931,
44,,Segment,5,5,Image 1,4,1,100000002,510000004932,
63,,Segment,5,4,Image 1,3,1,100000003,510000004934,
80,,Segment,5,8,Image 1,5,1,100000004,510000004937,
68,,Segment,5,8,Image 1,7,1,100000004,510000004938,
179,,Segment,5,5,Image 1,3,1,100000004,510000004939,
90,,Segment,5,6,Image 1,4,1,100000004,510000004940,
76,,Segment,5,8,Image 1,5,1,100000004,510000004941,
36,,Segment,5,6,Image 1,3,1,100000004,510000004942,
64,,Segment,5,3,Image 1,3,1,100000004,510000004943,
83,,Segment,5,0,Image 1,1,1,100000004,510000004945,
