
Spine Center Intensity Min Ch=1 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,1,15,Image 1,6,1,100000003,610000007373,
0,,Spine,1,15,Image 1,6,1,100000003,610000007374,
1,,Spine,1,14,Image 1,7,1,100000003,610000007375,
3,,Spine,1,14,Image 1,7,1,100000003,610000007376,
11,,Spine,1,14,Image 1,5,1,100000003,610000007377,
2,,Spine,1,10,Image 1,5,1,100000003,610000007378,
0,,Spine,1,10,Image 1,5,1,100000003,610000007379,
1,,Spine,1,9,Image 1,4,1,100000003,610000007380,
5,,Spine,1,8,Image 1,4,1,100000003,610000007381,
2,,Spine,1,12,Image 1,6,1,100000003,610000007382,
0,,Spine,1,11,Image 1,5,1,100000003,610000007383,
0,,Spine,1,9,Image 1,4,1,100000003,610000007384,
1,,Spine,1,6,Image 1,3,1,100000003,610000007385,
9,,Spine,1,7,Image 1,3,1,100000003,610000007386,
5,,Spine,1,6,Image 1,4,1,100000003,610000007387,
0,,Spine,1,6,Image 1,4,1,100000003,610000007388,
8,,Spine,1,6,Image 1,3,1,100000003,610000007389,
1,,Spine,1,5,Image 1,3,1,100000003,610000007390,
0,,Spine,1,8,Image 1,4,1,100000003,610000007391,
2,,Spine,1,11,Image 1,3,1,100000003,610000007392,
1,,Spine,1,10,Image 1,4,1,100000003,610000007393,
12,,Spine,1,9,Image 1,4,1,100000003,610000007394,
2,,Spine,1,9,Image 1,4,1,100000003,610000007395,
1,,Spine,1,8,Image 1,3,1,100000003,610000007396,
1,,Spine,1,6,Image 1,2,1,100000003,610000007397,
0,,Spine,1,5,Image 1,2,1,100000003,610000007398,
2,,Spine,1,9,Image 1,1,1,100000003,610000007399,
3,,Spine,1,9,Image 1,1,1,100000003,610000007400,
3,,Spine,1,7,Image 1,1,1,100000003,610000007401,
3,,Spine,1,5,Image 1,1,1,100000003,610000007402,
0,,Spine,1,9,Image 1,3,1,100000003,610000007403,
0,,Spine,1,7,Image 1,3,1,100000003,610000007404,
2,,Spine,1,7,Image 1,3,1,100000003,610000007405,
0,,Spine,1,6,Image 1,4,1,100000003,610000007406,
1,,Spine,1,6,Image 1,4,1,100000003,610000007407,
3,,Spine,1,4,Image 1,2,1,100000003,610000007408,
0,,Spine,1,1,Image 1,1,1,100000003,610000007409,
1,,Spine,1,5,Image 1,3,1,100000003,610000007410,
0,,Spine,1,2,Image 1,3,1,100000003,610000007411,
1,,Spine,1,2,Image 1,3,1,100000003,610000007412,
0,,Spine,1,1,Image 1,2,1,100000003,610000007413,
0,,Spine,1,10,Image 1,5,1,100000003,610000007415,
1,,Spine,1,8,Image 1,3,1,100000003,610000007416,
2,,Spine,1,6,Image 1,3,1,100000003,610000007417,
2,,Spine,1,4,Image 1,2,1,100000003,610000007418,
12,,Spine,1,4,Image 1,3,1,100000003,610000007419,
8,,Spine,1,3,Image 1,2,1,100000003,610000007420,
10,,Spine,1,2,Image 1,2,1,100000003,610000007421,
4,,Spine,1,2,Image 1,2,1,100000003,610000007422,
1,,Spine,1,2,Image 1,2,1,100000003,610000007423,
7,,Spine,1,3,Image 1,2,1,100000003,610000007424,
1,,Spine,1,5,Image 1,2,1,100000003,610000007425,
0,,Spine,1,5,Image 1,2,1,100000003,610000007426,
0,,Spine,1,3,Image 1,1,1,100000003,610000007427,
3,,Spine,1,2,Image 1,2,1,100000003,610000007428,
0,,Spine,1,0,Image 1,1,1,100000003,610000007429,
0,,Spine,1,1,Image 1,1,1,100000003,610000007430,
1,,Spine,1,5,Image 1,3,1,100000003,610000007431,
0,,Spine,1,5,Image 1,3,1,100000003,610000007432,
1,,Spine,1,4,Image 1,2,1,100000003,610000007433,
1,,Spine,1,4,Image 1,3,1,100000003,610000007434,
0,,Spine,1,3,Image 1,2,1,100000003,610000007435,
1,,Spine,1,4,Image 1,1,1,100000003,610000007436,
1,,Spine,1,4,Image 1,3,1,100000003,610000007437,
0,,Spine,1,2,Image 1,2,1,100000003,610000007438,
0,,Spine,1,1,Image 1,1,1,100000003,610000007439,
1,,Spine,1,0,Image 1,1,1,100000003,610000007440,
0,,Spine,1,0,Image 1,1,1,100000003,610000007441,
1,,Spine,1,12,Image 1,5,1,100000003,610000007442,
1,,Spine,1,11,Image 1,5,1,100000003,610000007443,
0,,Spine,1,9,Image 1,4,1,100000003,610000007444,
0,,Spine,1,8,Image 1,3,1,100000003,610000007445,
2,,Spine,1,8,Image 1,3,1,100000003,610000007446,
3,,Spine,1,5,Image 1,3,1,100000003,610000007447,
0,,Spine,1,3,Image 1,2,1,100000003,610000007448,
2,,Spine,1,3,Image 1,1,1,100000003,610000007449,
0,,Spine,1,2,Image 1,1,1,100000003,610000007450,
