
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
23191.6,µm,Point,Pt Distance from Origin,3,1,Spine Terminal,100000001,800000291,
23192.9,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000001,800000292,
23249.1,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000001,800000293,
23191.9,µm,Point,Pt Distance from Origin,3,1,Spine Terminal,100000001,800000294,
23256.8,µm,Point,Pt Distance from Origin,6,1,Spine Terminal,100000001,800000295,
23209.7,µm,Point,Pt Distance from Origin,2,1,Spine Terminal,100000001,800000296,
23226.5,µm,Point,Pt Distance from Origin,1,1,Spine Terminal,100000001,800000297,
23258.3,µm,Point,Pt Distance from Origin,7,1,Spine Terminal,100000001,800000298,
23209.1,µm,Point,Pt Distance from Origin,2,1,Spine Terminal,100000001,800000299,
23194.8,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000001,800000300,
23219.3,µm,Point,Pt Distance from Origin,6,1,Spine Terminal,100000001,800000301,
23218.6,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000001,800000302,
23225.5,µm,Point,Pt Distance from Origin,1,1,Spine Terminal,100000001,800000303,
23188.6,µm,Point,Pt Distance from Origin,7,1,Spine Terminal,100000001,800000304,
23222.8,µm,Point,Pt Distance from Origin,2,1,Spine Terminal,100000001,800000305,
23226.1,µm,Point,Pt Distance from Origin,1,1,Spine Terminal,100000001,800000306,
23210.8,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000001,800000307,
23224.7,µm,Point,Pt Distance from Origin,1,1,Spine Terminal,100000001,800000308,
23249.1,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000001,800000309,
23242.8,µm,Point,Pt Distance from Origin,3,1,Spine Terminal,100000001,800000310,
23255,µm,Point,Pt Distance from Origin,6,1,Spine Terminal,100000001,800000311,
23249.6,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000001,800000312,
23208.6,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000001,800000313,
23232.6,µm,Point,Pt Distance from Origin,1,1,Spine Terminal,100000001,800000314,
23248.9,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000001,800000315,
23217.2,µm,Point,Pt Distance from Origin,5,1,Spine Terminal,100000001,800000316,
23197,µm,Point,Pt Distance from Origin,1,1,Spine Terminal,100000001,800000317,
23202.9,µm,Point,Pt Distance from Origin,0,1,Spine Terminal,100000001,800000318,
23192.5,µm,Point,Pt Distance from Origin,3,1,Spine Terminal,100000001,800000319,
23187.1,µm,Point,Pt Distance from Origin,6,1,Spine Terminal,100000001,800000320,
23242.1,µm,Point,Pt Distance from Origin,3,1,Spine Terminal,100000001,800000321,
