
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.954527,µm^2,Segment,2,2,1,100000002,510000004165,
0.591054,µm^2,Segment,0,1,1,100000002,510000004174,
3.60666,µm^2,Segment,6,4,1,100000002,510000004208,
0.6283,µm^2,Segment,5,3,1,100000002,510000004212,
2.10558,µm^2,Segment,4,3,1,100000002,510000004223,
1.83757,µm^2,Segment,11,5,1,100000001,510000004239,
0.751837,µm^2,Segment,14,3,1,100000001,510000004242,
0.40087,µm^2,Segment,12,3,1,100000001,510000004244,
1.27135,µm^2,Segment,5,3,1,100000003,510000004250,
0.535336,µm^2,Segment,14,2,1,100000001,510000004256,
0.521666,µm^2,Segment,8,4,1,100000003,510000004262,
1.05869,µm^2,Segment,7,3,1,100000003,510000004271,
2.16194,µm^2,Segment,5,3,1,100000002,510000004291,
0.73028,µm^2,Segment,4,3,1,100000002,510000004298,
0.59503,µm^2,Segment,3,3,1,100000002,510000004303,
1.23278,µm^2,Segment,2,3,1,100000002,510000004318,
5.46751,µm^2,Segment,1,2,1,100000002,510000004364,
2.0184,µm^2,Segment,5,3,1,100000000,510000004380,
0.448507,µm^2,Segment,13,6,1,100000000,510000004382,
0.769916,µm^2,Segment,8,2,1,100000002,510000004385,
0.46274,µm^2,Segment,8,3,1,100000002,510000004388,
1.07556,µm^2,Segment,6,2,1,100000003,510000004391,
0.607629,µm^2,Segment,8,3,1,100000002,510000004394,
0.412521,µm^2,Segment,7,2,1,100000002,510000004397,
0.695929,µm^2,Segment,4,4,1,100000000,510000004400,
2.86187,µm^2,Segment,5,2,1,100000002,510000004442,
2.11594,µm^2,Segment,4,1,1,100000002,510000004465,
1.05843,µm^2,Segment,3,1,1,100000002,510000004470,
2.71297,µm^2,Segment,1,1,1,100000002,510000004482,
0.577496,µm^2,Segment,0,1,1,100000002,510000004494,
0.696761,µm^2,Segment,10,3,1,100000001,510000004497,
0.915133,µm^2,Segment,4,3,1,100000001,510000004504,
1.38842,µm^2,Segment,7,6,1,100000002,510000004512,
0.630994,µm^2,Segment,13,4,1,100000001,510000004517,
0.601875,µm^2,Segment,13,3,1,100000001,510000004520,
1.29334,µm^2,Segment,7,2,1,100000002,510000004529,
1.18369,µm^2,Segment,5,4,1,100000003,510000004541,
1.5313,µm^2,Segment,5,3,1,100000002,510000004552,
4.26017,µm^2,Segment,4,2,1,100000002,510000004592,
0.374754,µm^2,Segment,5,4,1,100000003,510000004595,
0.733811,µm^2,Segment,12,3,1,100000001,510000004603,
0.620456,µm^2,Segment,6,2,1,100000002,510000004609,
0.357152,µm^2,Segment,6,3,1,100000003,510000004613,
0.745912,µm^2,Segment,5,4,1,100000000,510000004616,
0.679589,µm^2,Segment,4,4,1,100000000,510000004622,
5.14411,µm^2,Segment,3,3,1,100000000,510000004675,
2.65979,µm^2,Segment,2,2,1,100000000,510000004694,
0.891978,µm^2,Segment,4,4,1,100000002,510000004701,
0.967339,µm^2,Segment,7,4,1,100000003,510000004712,
3.62537,µm^2,Segment,6,3,1,100000003,510000004739,
0.690463,µm^2,Segment,5,3,1,100000003,510000004744,
1.27155,µm^2,Segment,4,2,1,100000003,510000004752,
0.95257,µm^2,Segment,3,2,1,100000003,510000004756,
1.63101,µm^2,Segment,2,2,1,100000003,510000004770,
2.27038,µm^2,Segment,1,2,1,100000003,510000004784,
1.61828,µm^2,Segment,0,1,1,100000003,510000004802,
0.661168,µm^2,Segment,6,3,1,100000000,510000004808,
0.685866,µm^2,Segment,5,2,1,100000002,510000004813,
0.285922,µm^2,Segment,7,3,1,100000003,510000004815,
0.73419,µm^2,Segment,6,4,1,100000002,510000004821,
1.87568,µm^2,Segment,5,4,1,100000002,510000004840,
1.00958,µm^2,Segment,4,4,1,100000002,510000004848,
1.06331,µm^2,Segment,3,3,1,100000002,510000004856,
3.34977,µm^2,Segment,2,3,1,100000002,510000004891,
1.83754,µm^2,Segment,1,2,1,100000002,510000004905,
0.397293,µm^2,Segment,6,4,1,100000003,510000004907,
0.693271,µm^2,Segment,5,5,1,100000000,510000004913,
0.345507,µm^2,Segment,6,5,1,100000002,510000004915,
1.04737,µm^2,Segment,7,2,1,100000000,510000004919,
1.60332,µm^2,Segment,7,3,1,100000002,510000004930,
0.996977,µm^2,Segment,6,2,1,100000002,510000004933,
1.35803,µm^2,Segment,6,6,1,100000002,510000004947,
1.38996,µm^2,Segment,3,2,1,100000002,510000004958,
3.08933,µm^2,Segment,2,1,1,100000002,510000004980,
0.356086,µm^2,Segment,1,1,1,100000002,510000004984,
2.07302,µm^2,Segment,0,1,1,100000002,510000005004,
0.713234,µm^2,Segment,6,3,1,100000003,510000005007,
0.585178,µm^2,Segment,7,3,1,100000003,510000005009,
0.568721,µm^2,Segment,7,4,1,100000002,510000005013,
0.625726,µm^2,Segment,5,1,1,100000002,510000005017,
1.90833,µm^2,Segment,6,2,1,100000003,510000005039,
0.476944,µm^2,Segment,6,3,1,100000002,510000005043,
0.721812,µm^2,Segment,7,2,1,100000000,510000005046,
1.13346,µm^2,Segment,5,2,1,100000000,510000005054,
0.848357,µm^2,Segment,5,5,1,100000002,510000005061,
0.58117,µm^2,Segment,10,4,1,100000000,510000005065,
0.925626,µm^2,Segment,5,1,1,100000002,510000005075,
0.347515,µm^2,Segment,6,1,1,100000002,510000005078,
0.912731,µm^2,Segment,5,1,1,100000002,510000005084,
0.315928,µm^2,Segment,6,4,1,100000003,510000005086,
2.74218,µm^2,Segment,4,1,1,100000001,510000005105,
