
Segment Center Intensity Sum Ch=3 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
109,,Segment,3,2,Image 1,2,1,100000002,510000011531,
82,,Segment,3,4,Image 1,2,1,100000002,510000011532,
94,,Segment,3,8,Image 1,4,1,100000002,510000011533,
126,,Segment,3,9,Image 1,5,1,100000002,510000011534,
147,,Segment,3,7,Image 1,3,1,100000002,510000011535,
90,,Segment,3,8,Image 1,3,1,100000002,510000011536,
87,,Segment,3,5,Image 1,2,1,100000002,510000011537,
70,,Segment,3,4,Image 1,3,1,100000002,510000011538,
47,,Segment,3,5,Image 1,4,1,100000002,510000011539,
110,,Segment,3,5,Image 1,2,1,100000002,510000011540,
57,,Segment,3,11,Image 1,4,1,100000002,510000011541,
42,,Segment,3,10,Image 1,3,1,100000002,510000011542,
122,,Segment,3,5,Image 1,3,1,100000002,510000011543,
128,,Segment,3,5,Image 1,4,1,100000002,510000011544,
152,,Segment,3,2,Image 1,2,1,100000002,510000011547,
172,,Segment,3,6,Image 1,4,1,100000002,510000011549,
164,,Segment,3,2,Image 1,1,1,100000002,510000011550,
188,,Segment,3,11,Image 1,4,1,100000003,510000011551,
61,,Segment,3,9,Image 1,5,1,100000003,510000011552,
50,,Segment,3,8,Image 1,5,1,100000003,510000011553,
220,,Segment,3,8,Image 1,1,1,100000003,510000011554,
182,,Segment,3,9,Image 1,3,1,100000003,510000011555,
148,,Segment,3,1,Image 1,1,1,100000003,510000011556,
247,,Segment,3,17,Image 1,5,1,100000003,510000011558,
167,,Segment,3,19,Image 1,7,1,100000003,510000011559,
163,,Segment,3,20,Image 1,7,1,100000003,510000011560,
228,,Segment,3,20,Image 1,6,1,100000003,510000011561,
108,,Segment,3,19,Image 1,5,1,100000003,510000011562,
152,,Segment,3,6,Image 1,2,1,100000003,510000011563,
180,,Segment,3,14,Image 1,6,1,100000003,510000011564,
69,,Segment,3,7,Image 1,3,1,100000003,510000011565,
65,,Segment,3,4,Image 1,2,1,100000003,510000011566,
222,,Segment,3,3,Image 1,1,1,100000003,510000011567,
