
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.367164,0.200112,0.385536,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002016,
0.243496,0.223118,0.259915,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002167,
0.194925,0.199539,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002203,
0.598891,0.440983,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000003,610000002325,
0.263059,0.236828,0.243496,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002406,
0.304385,0.260654,0.415319,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002427,
0.213283,0.202969,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002450,
0.162331,0.162331,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000002497,
0.598891,0.257303,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000003,610000002511,
0.228048,0.239407,0.356032,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000002526,
0.372443,0.189934,0.395178,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002659,
0.598891,0.339828,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000003,610000002695,
0.367164,0.390154,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002941,
0.324661,0.345043,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002953,
0.271096,0.267033,0.297062,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003012,
0.394009,0.236806,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000003096,
0.228048,0.243496,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000003139,
0.237436,0.237436,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000003283,
0.365355,0.385974,0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000003345,
