
Spine Branch Depth
 ==================== 
Spine Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
3,,Spine,3,4,1,100000001,610000003098,
2,,Spine,2,1,1,100000003,610000003100,
7,,Spine,7,1,1,100000003,610000003109,
-1,,Spine,0,1,1,100000001,610000003111,
6,,Spine,6,2,1,100000003,610000003113,
4,,Spine,4,1,1,100000003,610000003115,
-1,,Spine,0,1,1,100000002,610000003120,
7,,Spine,7,1,1,100000003,610000003124,
4,,Spine,4,2,1,100000001,610000003127,
-1,,Spine,0,1,1,100000003,610000003129,
2,,Spine,2,1,1,100000003,610000003132,
4,,Spine,4,3,1,100000001,610000003134,
1,,Spine,1,2,1,100000002,610000003139,
1,,Spine,1,1,1,100000001,610000003141,
2,,Spine,2,1,1,100000001,610000003149,
0,,Spine,0,1,1,100000000,610000003153,
0,,Spine,0,1,1,100000001,610000003157,
3,,Spine,3,3,1,100000001,610000003163,
4,,Spine,4,1,1,100000003,610000003166,
0,,Spine,0,1,1,100000002,610000003168,
-1,,Spine,0,1,1,100000001,610000003171,
0,,Spine,0,1,1,100000003,610000003174,
7,,Spine,7,1,1,100000003,610000003182,
1,,Spine,1,1,1,100000001,610000003185,
-1,,Spine,0,1,1,100000003,610000003193,
4,,Spine,4,1,1,100000003,610000003196,
-1,,Spine,0,1,1,100000003,610000003200,
2,,Spine,2,1,1,100000001,610000003206,
0,,Spine,0,1,1,100000003,610000003210,
1,,Spine,1,1,1,100000000,610000003214,
2,,Spine,2,1,1,100000003,610000003220,
-1,,Spine,0,1,1,100000001,610000003224,
0,,Spine,0,1,1,100000002,610000003232,
2,,Spine,2,1,1,100000001,610000003258,
4,,Spine,4,4,1,100000000,610000003275,
4,,Spine,4,4,1,100000000,610000003276,
4,,Spine,4,4,1,100000000,610000003277,
4,,Spine,4,3,1,100000000,610000003278,
4,,Spine,4,3,1,100000000,610000003279,
4,,Spine,4,3,1,100000000,610000003280,
3,,Spine,3,2,1,100000000,610000003281,
3,,Spine,3,2,1,100000000,610000003282,
1,,Spine,1,2,1,100000000,610000003283,
1,,Spine,1,1,1,100000000,610000003284,
1,,Spine,1,1,1,100000000,610000003285,
1,,Spine,1,1,1,100000000,610000003286,
1,,Spine,1,1,1,100000000,610000003287,
1,,Spine,1,1,1,100000000,610000003288,
1,,Spine,1,1,1,100000000,610000003289,
1,,Spine,1,1,1,100000000,610000003290,
1,,Spine,1,1,1,100000000,610000003291,
6,,Spine,6,4,1,100000001,610000003292,
6,,Spine,6,4,1,100000001,610000003293,
6,,Spine,6,3,1,100000001,610000003294,
5,,Spine,5,3,1,100000001,610000003295,
5,,Spine,5,3,1,100000001,610000003296,
5,,Spine,5,3,1,100000001,610000003297,
5,,Spine,5,3,1,100000001,610000003298,
5,,Spine,5,3,1,100000001,610000003299,
5,,Spine,5,3,1,100000001,610000003300,
5,,Spine,5,3,1,100000001,610000003301,
5,,Spine,5,3,1,100000001,610000003302,
5,,Spine,5,3,1,100000001,610000003303,
5,,Spine,5,3,1,100000001,610000003304,
5,,Spine,5,2,1,100000001,610000003305,
3,,Spine,3,1,1,100000001,610000003306,
3,,Spine,3,1,1,100000001,610000003307,
3,,Spine,3,1,1,100000001,610000003308,
7,,Spine,7,5,1,100000001,610000003309,
7,,Spine,7,5,1,100000001,610000003310,
6,,Spine,6,5,1,100000001,610000003311,
6,,Spine,6,5,1,100000001,610000003312,
6,,Spine,6,4,1,100000001,610000003313,
6,,Spine,6,4,1,100000001,610000003314,
6,,Spine,6,4,1,100000001,610000003315,
6,,Spine,6,4,1,100000001,610000003316,
6,,Spine,6,4,1,100000001,610000003317,
5,,Spine,5,4,1,100000001,610000003318,
5,,Spine,5,3,1,100000001,610000003319,
5,,Spine,5,3,1,100000001,610000003320,
5,,Spine,5,3,1,100000001,610000003321,
4,,Spine,4,3,1,100000001,610000003322,
4,,Spine,4,3,1,100000001,610000003323,
4,,Spine,4,3,1,100000001,610000003324,
4,,Spine,4,3,1,100000001,610000003325,
4,,Spine,4,2,1,100000001,610000003326,
4,,Spine,4,2,1,100000001,610000003327,
3,,Spine,3,2,1,100000001,610000003328,
3,,Spine,3,2,1,100000001,610000003329,
3,,Spine,3,2,1,100000001,610000003330,
6,,Spine,6,5,1,100000001,610000003331,
6,,Spine,6,5,1,100000001,610000003332,
5,,Spine,5,4,1,100000001,610000003333,
5,,Spine,5,4,1,100000001,610000003334,
5,,Spine,5,4,1,100000001,610000003335,
5,,Spine,5,4,1,100000001,610000003336,
5,,Spine,5,4,1,100000001,610000003337,
5,,Spine,5,4,1,100000001,610000003338,
5,,Spine,5,4,1,100000001,610000003339,
5,,Spine,5,4,1,100000001,610000003340,
4,,Spine,4,4,1,100000001,610000003341,
1,,Spine,1,1,1,100000001,610000003342,
1,,Spine,1,1,1,100000001,610000003343,
1,,Spine,1,1,1,100000001,610000003344,
1,,Spine,1,2,1,100000001,610000003345,
0,,Spine,0,1,1,100000001,610000003347,
6,,Spine,6,4,1,100000001,610000003348,
6,,Spine,6,3,1,100000001,610000003349,
5,,Spine,5,4,1,100000001,610000003350,
5,,Spine,5,4,1,100000001,610000003351,
4,,Spine,4,3,1,100000001,610000003352,
3,,Spine,3,3,1,100000001,610000003353,
3,,Spine,3,3,1,100000001,610000003354,
3,,Spine,3,3,1,100000001,610000003355,
3,,Spine,3,4,1,100000001,610000003356,
3,,Spine,3,4,1,100000001,610000003357,
3,,Spine,3,4,1,100000001,610000003358,
3,,Spine,3,4,1,100000001,610000003359,
3,,Spine,3,4,1,100000001,610000003360,
2,,Spine,2,2,1,100000001,610000003361,
1,,Spine,1,2,1,100000001,610000003362,
2,,Spine,2,2,1,100000001,610000003363,
0,,Spine,0,1,1,100000001,610000003364,
0,,Spine,0,1,1,100000001,610000003365,
0,,Spine,0,1,1,100000001,610000003366,
0,,Spine,0,1,1,100000001,610000003367,
0,,Spine,0,1,1,100000001,610000003368,
0,,Spine,0,1,1,100000001,610000003369,
0,,Spine,0,1,1,100000001,610000003370,
0,,Spine,0,1,1,100000001,610000003371,
3,,Spine,3,2,1,100000002,610000003377,
4,,Spine,4,2,1,100000002,610000003378,
4,,Spine,4,3,1,100000002,610000003379,
3,,Spine,3,2,1,100000002,610000003380,
3,,Spine,3,2,1,100000002,610000003381,
2,,Spine,2,1,1,100000002,610000003382,
1,,Spine,1,1,1,100000002,610000003383,
1,,Spine,1,2,1,100000002,610000003384,
1,,Spine,1,2,1,100000002,610000003385,
0,,Spine,0,1,1,100000002,610000003386,
0,,Spine,0,1,1,100000002,610000003387,
2,,Spine,2,1,1,100000002,610000003388,
2,,Spine,2,1,1,100000002,610000003389,
2,,Spine,2,1,1,100000002,610000003390,
2,,Spine,2,1,1,100000002,610000003391,
2,,Spine,2,2,1,100000002,610000003392,
1,,Spine,1,1,1,100000002,610000003393,
1,,Spine,1,1,1,100000002,610000003394,
1,,Spine,1,1,1,100000002,610000003395,
1,,Spine,1,2,1,100000002,610000003396,
1,,Spine,1,2,1,100000002,610000003397,
1,,Spine,1,2,1,100000002,610000003398,
0,,Spine,0,1,1,100000002,610000003400,
0,,Spine,0,1,1,100000002,610000003401,
1,,Spine,1,1,1,100000002,610000003402,
1,,Spine,1,1,1,100000002,610000003403,
1,,Spine,1,1,1,100000002,610000003404,
1,,Spine,1,1,1,100000002,610000003405,
1,,Spine,1,1,1,100000002,610000003406,
1,,Spine,1,1,1,100000002,610000003407,
1,,Spine,1,1,1,100000002,610000003408,
1,,Spine,1,1,1,100000002,610000003409,
1,,Spine,1,1,1,100000002,610000003410,
1,,Spine,1,1,1,100000002,610000003411,
1,,Spine,1,1,1,100000002,610000003412,
1,,Spine,1,1,1,100000002,610000003413,
1,,Spine,1,1,1,100000002,610000003414,
1,,Spine,1,1,1,100000002,610000003415,
1,,Spine,1,1,1,100000002,610000003416,
1,,Spine,1,1,1,100000002,610000003417,
1,,Spine,1,2,1,100000002,610000003418,
0,,Spine,0,1,1,100000002,610000003419,
0,,Spine,0,1,1,100000002,610000003420,
0,,Spine,0,1,1,100000002,610000003421,
0,,Spine,0,1,1,100000002,610000003422,
0,,Spine,0,1,1,100000002,610000003423,
0,,Spine,0,1,1,100000002,610000003424,
8,,Spine,8,3,1,100000003,610000003425,
8,,Spine,8,3,1,100000003,610000003426,
7,,Spine,7,2,1,100000003,610000003427,
6,,Spine,6,2,1,100000003,610000003428,
6,,Spine,6,2,1,100000003,610000003429,
6,,Spine,6,2,1,100000003,610000003430,
6,,Spine,6,2,1,100000003,610000003431,
6,,Spine,6,2,1,100000003,610000003432,
7,,Spine,7,1,1,100000003,610000003433,
7,,Spine,7,1,1,100000003,610000003434,
7,,Spine,7,2,1,100000003,610000003435,
7,,Spine,7,1,1,100000003,610000003436,
6,,Spine,6,1,1,100000003,610000003437,
6,,Spine,6,1,1,100000003,610000003438,
6,,Spine,6,1,1,100000003,610000003439,
6,,Spine,6,2,1,100000003,610000003440,
4,,Spine,4,1,1,100000003,610000003441,
4,,Spine,4,1,1,100000003,610000003442,
3,,Spine,3,2,1,100000003,610000003443,
3,,Spine,3,1,1,100000003,610000003444,
2,,Spine,2,1,1,100000003,610000003445,
