
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
153.947,20801.9,1390.66,µm,Segment,Segment Position,2,1,1,100000001,510000003069,
195.241,20796.5,1391.63,µm,Segment,Segment Position,2,1,1,100000003,510000003787,
169.513,20811.8,1391.44,µm,Segment,Segment Position,2,1,1,100000002,510000004140,
173.333,20811.9,1390.54,µm,Segment,Segment Position,2,1,1,100000002,510000004302,
194.016,20804.6,1390.38,µm,Segment,Segment Position,2,1,1,100000003,510000005066,
154.275,20800.2,1391.32,µm,Segment,Segment Position,2,1,1,100000001,510000005253,
166.526,20814.7,1388.77,µm,Segment,Segment Position,2,1,1,100000002,510000006120,
165.99,20817.9,1390.51,µm,Segment,Segment Position,2,1,1,100000002,510000006220,
164.792,20782.2,1391.16,µm,Segment,Segment Position,2,1,1,100000000,510000006341,
158.889,20799.3,1388.38,µm,Segment,Segment Position,2,1,1,100000001,510000006583,
165.362,20818.5,1390.33,µm,Segment,Segment Position,2,2,1,100000002,510000000320,
155.182,20803.7,1390.27,µm,Segment,Segment Position,2,2,1,100000001,510000001869,
175.224,20811.4,1390.52,µm,Segment,Segment Position,2,2,1,100000002,510000002544,
159.806,20796.3,1391.39,µm,Segment,Segment Position,2,2,1,100000001,510000003364,
169.889,20810.7,1389.2,µm,Segment,Segment Position,2,2,1,100000002,510000004486,
162.088,20796.8,1389.59,µm,Segment,Segment Position,2,2,1,100000001,510000004685,
153.229,20803.4,1389.77,µm,Segment,Segment Position,2,2,1,100000001,510000004770,
153.92,20799.4,1391.48,µm,Segment,Segment Position,2,2,1,100000001,510000004887,
164.059,20784.1,1390.82,µm,Segment,Segment Position,2,2,1,100000000,510000005005,
153.693,20801.9,1391.47,µm,Segment,Segment Position,2,2,1,100000001,510000005442,
195.199,20803.7,1389.97,µm,Segment,Segment Position,2,2,1,100000003,510000005606,
173.276,20811.6,1390.73,µm,Segment,Segment Position,2,2,1,100000002,510000005613,
191.752,20805.6,1391.1,µm,Segment,Segment Position,2,2,1,100000003,510000005696,
158.082,20797.2,1389.76,µm,Segment,Segment Position,2,2,1,100000001,510000005751,
165.921,20814.2,1389.93,µm,Segment,Segment Position,2,2,1,100000002,510000005825,
193.089,20798,1390.74,µm,Segment,Segment Position,2,2,1,100000003,510000005919,
190.364,20803.8,1390.87,µm,Segment,Segment Position,2,2,1,100000003,510000006008,
164.81,20781.8,1391.32,µm,Segment,Segment Position,2,2,1,100000000,510000006133,
170.104,20811.9,1391.06,µm,Segment,Segment Position,2,2,1,100000002,510000006172,
159.2,20799.4,1388.28,µm,Segment,Segment Position,2,2,1,100000001,510000006178,
194.016,20797.5,1391.54,µm,Segment,Segment Position,2,2,1,100000003,510000006210,
159.822,20781.9,1389.56,µm,Segment,Segment Position,2,2,1,100000000,510000006343,
163.418,20783.8,1390.18,µm,Segment,Segment Position,2,2,1,100000000,510000006414,
175.953,20811.8,1390.47,µm,Segment,Segment Position,2,3,1,100000002,510000000969,
168.714,20810.5,1389.72,µm,Segment,Segment Position,2,3,1,100000002,510000005215,
192.682,20798.6,1391.41,µm,Segment,Segment Position,2,3,1,100000003,510000005460,
190.292,20803.3,1391.42,µm,Segment,Segment Position,2,3,1,100000003,510000005847,
158.207,20796.7,1391.64,µm,Segment,Segment Position,2,3,1,100000001,510000006074,
154.481,20803.1,1390.53,µm,Segment,Segment Position,2,3,1,100000001,510000006160,
163.169,20783.6,1390.17,µm,Segment,Segment Position,2,3,1,100000000,510000006366,
159.308,20782.6,1389.6,µm,Segment,Segment Position,3,1,1,100000000,510000000116,
157.418,20804.8,1389.35,µm,Segment,Segment Position,3,1,1,100000001,510000000581,
157.822,20797.5,1389.08,µm,Segment,Segment Position,3,1,1,100000001,510000000729,
191.249,20805.6,1390.63,µm,Segment,Segment Position,3,1,1,100000003,510000001351,
164.722,20784.5,1389.67,µm,Segment,Segment Position,3,1,1,100000000,510000001968,
153.128,20801.9,1390.55,µm,Segment,Segment Position,3,1,1,100000001,510000003058,
196.499,20794.9,1391.5,µm,Segment,Segment Position,3,1,1,100000003,510000003742,
153.197,20800.4,1391.09,µm,Segment,Segment Position,3,1,1,100000001,510000005242,
157.454,20800.1,1388.05,µm,Segment,Segment Position,3,1,1,100000001,510000005350,
172.791,20811.7,1390.4,µm,Segment,Segment Position,3,1,1,100000002,510000005524,
161.425,20798.7,1389.14,µm,Segment,Segment Position,3,1,1,100000001,510000005669,
195.175,20806.7,1390.85,µm,Segment,Segment Position,3,1,1,100000003,510000005809,
169.482,20811.7,1391.46,µm,Segment,Segment Position,3,1,1,100000002,510000006592,
161.389,20799.2,1389.33,µm,Segment,Segment Position,3,2,1,100000001,510000000839,
154.663,20804.8,1390.41,µm,Segment,Segment Position,3,2,1,100000001,510000001853,
177.048,20809.1,1389.8,µm,Segment,Segment Position,3,2,1,100000002,510000002542,
163.182,20796.8,1391.27,µm,Segment,Segment Position,3,2,1,100000001,510000003324,
159.91,20782.9,1389.76,µm,Segment,Segment Position,3,2,1,100000000,510000003426,
169.766,20810.6,1391.54,µm,Segment,Segment Position,3,2,1,100000002,510000004138,
172.761,20812.4,1389.99,µm,Segment,Segment Position,3,2,1,100000002,510000004298,
170.372,20809.9,1388.85,µm,Segment,Segment Position,3,2,1,100000002,510000004473,
151.693,20804.2,1389.01,µm,Segment,Segment Position,3,2,1,100000001,510000004735,
162.887,20786.5,1391.43,µm,Segment,Segment Position,3,2,1,100000000,510000004985,
194.659,20805.6,1389.93,µm,Segment,Segment Position,3,2,1,100000003,510000005056,
163.691,20795,1388.92,µm,Segment,Segment Position,3,2,1,100000001,510000005385,
