
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
29,,Spine,2,1,Image 1,1,1,100000001,610000008509,
35,,Spine,2,1,Image 1,1,1,100000001,610000008510,
29,,Spine,2,0,Image 1,1,1,100000001,610000008511,
7,,Spine,2,3,Image 1,1,1,100000001,610000008512,
11,,Spine,2,9,Image 1,4,1,100000001,610000008513,
9,,Spine,2,7,Image 1,3,1,100000001,610000008514,
14,,Spine,2,7,Image 1,3,1,100000001,610000008515,
17,,Spine,2,7,Image 1,3,1,100000001,610000008516,
17,,Spine,2,7,Image 1,3,1,100000001,610000008517,
13,,Spine,2,8,Image 1,5,1,100000001,610000008518,
5,,Spine,2,7,Image 1,4,1,100000001,610000008519,
5,,Spine,2,6,Image 1,4,1,100000001,610000008520,
6,,Spine,2,5,Image 1,4,1,100000001,610000008521,
5,,Spine,2,4,Image 1,3,1,100000001,610000008522,
15,,Spine,2,4,Image 1,3,1,100000001,610000008523,
12,,Spine,2,5,Image 1,3,1,100000001,610000008524,
14,,Spine,2,5,Image 1,3,1,100000001,610000008525,
7,,Spine,2,5,Image 1,3,1,100000001,610000008526,
8,,Spine,2,3,Image 1,2,1,100000001,610000008527,
9,,Spine,2,2,Image 1,2,1,100000001,610000008528,
24,,Spine,2,0,Image 1,1,1,100000001,610000008529,
44,,Spine,2,0,Image 1,1,1,100000001,610000008530,
22,,Spine,2,0,Image 1,1,1,100000001,610000008534,
7,,Spine,2,7,Image 1,6,1,100000002,610000008535,
15,,Spine,2,7,Image 1,5,1,100000002,610000008536,
9,,Spine,2,7,Image 1,5,1,100000002,610000008537,
14,,Spine,2,6,Image 1,6,1,100000002,610000008538,
15,,Spine,2,6,Image 1,6,1,100000002,610000008539,
7,,Spine,2,5,Image 1,5,1,100000002,610000008540,
10,,Spine,2,5,Image 1,5,1,100000002,610000008541,
7,,Spine,2,5,Image 1,5,1,100000002,610000008542,
18,,Spine,2,11,Image 1,6,1,100000002,610000008543,
