
Spine Center Intensity Sum Ch=2 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
278,,Spine,2,13,Image 1,3,1,100000003,610000008587,
111,,Spine,2,12,Image 1,3,1,100000003,610000008588,
90,,Spine,2,11,Image 1,3,1,100000003,610000008589,
67,,Spine,2,11,Image 1,2,1,100000003,610000008590,
107,,Spine,2,11,Image 1,2,1,100000003,610000008591,
170,,Spine,2,9,Image 1,2,1,100000003,610000008592,
156,,Spine,2,9,Image 1,2,1,100000003,610000008593,
148,,Spine,2,13,Image 1,4,1,100000003,610000008594,
136,,Spine,2,12,Image 1,3,1,100000003,610000008595,
60,,Spine,2,11,Image 1,4,1,100000003,610000008596,
101,,Spine,2,11,Image 1,4,1,100000003,610000008597,
106,,Spine,2,11,Image 1,3,1,100000003,610000008598,
141,,Spine,2,10,Image 1,3,1,100000003,610000008599,
188,,Spine,2,9,Image 1,3,1,100000003,610000008600,
229,,Spine,2,8,Image 1,3,1,100000003,610000008601,
214,,Spine,2,8,Image 1,3,1,100000003,610000008602,
170,,Spine,2,17,Image 1,6,1,100000003,610000008603,
205,,Spine,2,10,Image 1,2,1,100000003,610000008604,
98,,Spine,2,11,Image 1,3,1,100000003,610000008605,
