
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.801093,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000009047,
1.20193,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000009048,
0.924308,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000009049,
0.506185,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000009050,
0.817976,µm,Spine,Spine Part Mean Diameter,19,7,1,100000001,610000009051,
0.890566,µm,Spine,Spine Part Mean Diameter,15,4,1,100000001,610000009052,
1.21117,µm,Spine,Spine Part Mean Diameter,15,4,1,100000001,610000009053,
1.03818,µm,Spine,Spine Part Mean Diameter,14,5,1,100000001,610000009054,
0.835465,µm,Spine,Spine Part Mean Diameter,12,4,1,100000001,610000009055,
0.728347,µm,Spine,Spine Part Mean Diameter,12,4,1,100000001,610000009056,
1.23341,µm,Spine,Spine Part Mean Diameter,12,3,1,100000001,610000009057,
1.01904,µm,Spine,Spine Part Mean Diameter,9,3,1,100000001,610000009058,
0.742169,µm,Spine,Spine Part Mean Diameter,7,2,1,100000001,610000009059,
1.03508,µm,Spine,Spine Part Mean Diameter,7,2,1,100000001,610000009060,
0.870843,µm,Spine,Spine Part Mean Diameter,7,3,1,100000001,610000009061,
0.98044,µm,Spine,Spine Part Mean Diameter,5,2,1,100000001,610000009062,
1.0748,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000009063,
1.14654,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000009064,
0.932028,µm,Spine,Spine Part Mean Diameter,8,5,1,100000001,610000009065,
0.752655,µm,Spine,Spine Part Mean Diameter,6,4,1,100000001,610000009066,
0.898696,µm,Spine,Spine Part Mean Diameter,9,5,1,100000001,610000009067,
1.02507,µm,Spine,Spine Part Mean Diameter,9,4,1,100000001,610000009068,
0.909791,µm,Spine,Spine Part Mean Diameter,5,2,1,100000001,610000009069,
0.757121,µm,Spine,Spine Part Mean Diameter,5,2,1,100000001,610000009070,
0.909722,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000009071,
0.853464,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000009072,
1.18782,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000009073,
1.0836,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000009074,
0.967592,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000009075,
0.821665,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000009076,
1.1071,µm,Spine,Spine Part Mean Diameter,3,3,1,100000001,610000009077,
0.945558,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000009078,
1.06694,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000009079,
0.989201,µm,Spine,Spine Part Mean Diameter,3,1,1,100000001,610000009080,
0.862847,µm,Spine,Spine Part Mean Diameter,3,1,1,100000001,610000009081,
1.13619,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000009082,
1.18897,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000009083,
0.936681,µm,Spine,Spine Part Mean Diameter,3,2,1,100000001,610000009084,
0.9254,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000009085,
0.837852,µm,Spine,Spine Part Mean Diameter,14,6,1,100000002,610000009089,
0.768741,µm,Spine,Spine Part Mean Diameter,14,7,1,100000002,610000009090,
1.19691,µm,Spine,Spine Part Mean Diameter,14,7,1,100000002,610000009091,
0.799214,µm,Spine,Spine Part Mean Diameter,11,7,1,100000002,610000009092,
1.02325,µm,Spine,Spine Part Mean Diameter,9,5,1,100000002,610000009093,
0.951029,µm,Spine,Spine Part Mean Diameter,9,5,1,100000002,610000009094,
0.684192,µm,Spine,Spine Part Mean Diameter,15,6,1,100000002,610000009095,
0.925635,µm,Spine,Spine Part Mean Diameter,14,6,1,100000002,610000009096,
1.17791,µm,Spine,Spine Part Mean Diameter,15,7,1,100000002,610000009097,
1.20502,µm,Spine,Spine Part Mean Diameter,12,6,1,100000002,610000009098,
0.897962,µm,Spine,Spine Part Mean Diameter,11,5,1,100000002,610000009099,
0.882275,µm,Spine,Spine Part Mean Diameter,11,5,1,100000002,610000009100,
0.940632,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000009101,
1.27565,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000009102,
1.06355,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000009103,
1.24095,µm,Spine,Spine Part Mean Diameter,1,1,1,100000002,610000009104,
1.30759,µm,Spine,Spine Part Mean Diameter,1,1,1,100000002,610000009105,
0.983578,µm,Spine,Spine Part Mean Diameter,3,3,1,100000002,610000009106,
0.836993,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000009107,
0.827801,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000009108,
1.08424,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000009109,
0.724208,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000009110,
1.11009,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000009111,
0.951772,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000009112,
1.06985,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000009113,
0.644712,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000009114,
0.85293,µm,Spine,Spine Part Mean Diameter,12,6,1,100000002,610000009115,
0.62732,µm,Spine,Spine Part Mean Diameter,11,5,1,100000002,610000009116,
0.800528,µm,Spine,Spine Part Mean Diameter,8,3,1,100000002,610000009117,
1.09735,µm,Spine,Spine Part Mean Diameter,7,3,1,100000002,610000009118,
1.12272,µm,Spine,Spine Part Mean Diameter,5,2,1,100000002,610000009119,
0.816551,µm,Spine,Spine Part Mean Diameter,11,3,1,100000002,610000009120,
