
Segment Center Intensity Max Ch=2 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
9,,Segment,2,7,Image 1,2,1,100000001,510000004059,
9,,Segment,2,6,Image 1,1,1,100000001,510000004061,
4,,Segment,2,5,Image 1,1,1,100000001,510000004064,
4,,Segment,2,4,Image 1,1,1,100000001,510000004066,
2,,Segment,2,3,Image 1,1,1,100000001,510000004076,
2,,Segment,2,2,Image 1,1,1,100000001,510000004093,
1,,Segment,2,1,Image 1,1,1,100000001,510000004096,
1,,Segment,2,0,Image 1,1,1,100000001,510000004108,
2,,Segment,2,19,Image 1,7,1,100000001,510000004148,
4,,Segment,2,18,Image 1,6,1,100000001,510000004159,
4,,Segment,2,15,Image 1,4,1,100000001,510000004183,
29,,Segment,2,17,Image 1,7,1,100000001,510000004188,
3,,Segment,2,16,Image 1,5,1,100000001,510000004193,
17,,Segment,2,14,Image 1,5,1,100000001,510000004210,
6,,Segment,2,14,Image 1,5,1,100000001,510000004229,
2,,Segment,2,12,Image 1,3,1,100000001,510000004239,
2,,Segment,2,12,Image 1,5,1,100000001,510000004242,
2,,Segment,2,12,Image 1,4,1,100000001,510000004245,
3,,Segment,2,10,Image 1,4,1,100000001,510000004260,
6,,Segment,2,9,Image 1,2,1,100000001,510000004275,
2,,Segment,2,8,Image 1,3,1,100000001,510000004278,
0,,Segment,2,5,Image 1,3,1,100000003,510000004281,
2,,Segment,2,4,Image 1,3,1,100000003,510000004285,
22,,Segment,2,3,Image 1,3,1,100000003,510000004291,
6,,Segment,2,7,Image 1,3,1,100000003,510000004330,
3,,Segment,2,5,Image 1,2,1,100000003,510000004336,
19,,Segment,2,5,Image 1,2,1,100000003,510000004374,
8,,Segment,2,7,Image 1,2,1,100000001,510000004390,
5,,Segment,2,2,Image 1,1,1,100000001,510000004414,
0,,Segment,2,1,Image 1,1,1,100000001,510000004419,
9,,Segment,2,5,Image 1,4,1,100000002,510000004435,
18,,Segment,2,4,Image 1,3,1,100000002,510000004439,
28,,Segment,2,3,Image 1,2,1,100000002,510000004455,
8,,Segment,2,3,Image 1,2,1,100000001,510000004495,
1,,Segment,2,5,Image 1,4,1,100000002,510000004505,
2,,Segment,2,4,Image 1,3,1,100000002,510000004525,
1,,Segment,2,3,Image 1,3,1,100000002,510000004532,
2,,Segment,2,2,Image 1,2,1,100000002,510000004537,
47,,Segment,2,1,Image 1,1,1,100000002,510000004579,
2,,Segment,2,5,Image 1,3,1,100000002,510000004594,
14,,Segment,2,4,Image 1,4,1,100000002,510000004604,
2,,Segment,2,4,Image 1,2,1,100000002,510000004612,
2,,Segment,2,3,Image 1,2,1,100000002,510000004615,
4,,Segment,2,4,Image 1,3,1,100000002,510000004621,
3,,Segment,2,3,Image 1,2,1,100000002,510000004627,
18,,Segment,2,12,Image 1,6,1,100000002,510000004644,
16,,Segment,2,8,Image 1,5,1,100000001,510000004670,
17,,Segment,2,7,Image 1,5,1,100000001,510000004680,
4,,Segment,2,6,Image 1,4,1,100000001,510000004695,
22,,Segment,2,5,Image 1,4,1,100000001,510000004705,
2,,Segment,2,4,Image 1,3,1,100000001,510000004716,
2,,Segment,2,3,Image 1,2,1,100000001,510000004718,
8,,Segment,2,2,Image 1,2,1,100000001,510000004731,
9,,Segment,2,12,Image 1,5,1,100000003,510000004750,
9,,Segment,2,11,Image 1,5,1,100000003,510000004756,
10,,Segment,2,10,Image 1,4,1,100000003,510000004764,
7,,Segment,2,9,Image 1,3,1,100000003,510000004770,
7,,Segment,2,8,Image 1,2,1,100000003,510000004792,
2,,Segment,2,7,Image 1,1,1,100000003,510000004795,
9,,Segment,2,12,Image 1,6,1,100000003,510000004823,
3,,Segment,2,12,Image 1,5,1,100000002,510000004827,
3,,Segment,2,11,Image 1,5,1,100000002,510000004829,
2,,Segment,2,9,Image 1,7,1,100000001,510000004848,
14,,Segment,2,8,Image 1,6,1,100000001,510000004851,
39,,Segment,2,3,Image 1,2,1,100000003,510000004905,
59,,Segment,2,6,Image 1,2,1,100000001,510000004931,
3,,Segment,2,12,Image 1,6,1,100000002,510000004933,
3,,Segment,2,12,Image 1,3,1,100000002,510000004935,
10,,Segment,2,11,Image 1,3,1,100000002,510000004964,
5,,Segment,2,10,Image 1,2,1,100000002,510000004970,
6,,Segment,2,9,Image 1,2,1,100000002,510000004981,
2,,Segment,2,8,Image 1,1,1,100000002,510000004991,
2,,Segment,2,7,Image 1,1,1,100000002,510000004997,
9,,Segment,2,6,Image 1,1,1,100000002,510000005026,
2,,Segment,2,5,Image 1,1,1,100000002,510000005030,
2,,Segment,2,9,Image 1,5,1,100000002,510000005062,
1,,Segment,2,8,Image 1,4,1,100000002,510000005065,
2,,Segment,2,9,Image 1,6,1,100000001,510000005072,
1,,Segment,2,10,Image 1,4,1,100000002,510000005074,
2,,Segment,2,9,Image 1,4,1,100000002,510000005096,
0,,Segment,2,6,Image 1,5,1,100000001,510000005100,
3,,Segment,2,4,Image 1,4,1,100000001,510000005128,
3,,Segment,2,3,Image 1,3,1,100000001,510000005130,
5,,Segment,2,2,Image 1,3,1,100000001,510000005174,
3,,Segment,2,2,Image 1,2,1,100000001,510000005202,
62,,Segment,2,1,Image 1,1,1,100000001,510000005263,
0,,Segment,2,0,Image 1,1,1,100000001,510000005272,
36,,Segment,2,7,Image 1,3,1,100000003,510000005339,
3,,Segment,2,9,Image 1,3,1,100000002,510000005353,
4,,Segment,2,13,Image 1,2,1,100000002,510000005370,
2,,Segment,2,12,Image 1,1,1,100000002,510000005374,
8,,Segment,2,11,Image 1,1,1,100000002,510000005376,
8,,Segment,2,10,Image 1,1,1,100000002,510000005382,
3,,Segment,2,9,Image 1,1,1,100000002,510000005388,
0,,Segment,2,5,Image 1,5,1,100000001,510000005391,
2,,Segment,2,6,Image 1,4,1,100000001,510000005394,
2,,Segment,2,12,Image 1,2,1,100000002,510000005404,
1,,Segment,2,11,Image 1,2,1,100000002,510000005412,
3,,Segment,2,10,Image 1,2,1,100000002,510000005425,
1,,Segment,2,9,Image 1,2,1,100000002,510000005439,
4,,Segment,2,8,Image 1,2,1,100000002,510000005449,
4,,Segment,2,11,Image 1,3,1,100000002,510000005468,
22,,Segment,2,9,Image 1,5,1,100000001,510000005488,
2,,Segment,2,8,Image 1,4,1,100000001,510000005491,
0,,Segment,2,7,Image 1,4,1,100000001,510000005493,
2,,Segment,2,6,Image 1,4,1,100000001,510000005499,
3,,Segment,2,5,Image 1,3,1,100000001,510000005509,
2,,Segment,2,4,Image 1,2,1,100000001,510000005538,
1,,Segment,2,12,Image 1,3,1,100000002,510000005540,
1,,Segment,2,5,Image 1,2,1,100000001,510000005548,
2,,Segment,2,4,Image 1,2,1,100000001,510000005577,
1,,Segment,2,3,Image 1,1,1,100000001,510000005582,
1,,Segment,2,2,Image 1,1,1,100000001,510000005604,
3,,Segment,2,1,Image 1,1,1,100000001,510000005607,
8,,Segment,2,0,Image 1,1,1,100000001,510000005627,
1,,Segment,2,5,Image 1,3,1,100000001,510000005646,
2,,Segment,2,7,Image 1,5,1,100000001,510000005652,
3,,Segment,2,11,Image 1,2,1,100000002,510000005674,
5,,Segment,2,10,Image 1,2,1,100000002,510000005679,
3,,Segment,2,3,Image 1,4,1,100000001,510000005696,
4,,Segment,2,9,Image 1,4,1,100000001,510000005700,
16,,Segment,2,10,Image 1,3,1,100000002,510000005724,
2,,Segment,2,8,Image 1,5,1,100000001,510000005734,
3,,Segment,2,9,Image 1,3,1,100000003,510000005749,
1,,Segment,2,13,Image 1,1,1,100000002,510000005752,
7,,Segment,2,10,Image 1,3,1,100000003,510000005756,
5,,Segment,2,5,Image 1,2,1,100000001,510000005770,
6,,Segment,2,4,Image 1,2,1,100000001,510000005772,
1,,Segment,2,9,Image 1,4,1,100000002,510000005775,
2,,Segment,2,12,Image 1,2,1,100000002,510000005780,
3,,Segment,2,7,Image 1,2,1,100000001,510000005825,
2,,Segment,2,6,Image 1,2,1,100000001,510000005830,
4,,Segment,2,5,Image 1,2,1,100000001,510000005839,
1,,Segment,2,9,Image 1,2,1,100000002,510000005858,
2,,Segment,2,8,Image 1,2,1,100000002,510000005862,
3,,Segment,2,7,Image 1,2,1,100000002,510000005886,
5,,Segment,2,11,Image 1,2,1,100000002,510000005891,
30,,Segment,2,11,Image 1,1,1,100000001,510000005900,
5,,Segment,2,10,Image 1,1,1,100000001,510000005922,
0,,Segment,2,9,Image 1,1,1,100000001,510000005926,
2,,Segment,2,8,Image 1,1,1,100000001,510000005933,
0,,Segment,2,2,Image 1,1,1,100000001,510000005936,
3,,Segment,2,10,Image 1,3,1,100000002,510000005943,
28,,Segment,2,11,Image 1,2,1,100000001,510000005951,
1,,Segment,2,6,Image 1,3,1,100000001,510000005960,
2,,Segment,2,4,Image 1,2,1,100000001,510000005978,
2,,Segment,2,3,Image 1,2,1,100000001,510000005998,
5,,Segment,2,5,Image 1,3,1,100000001,510000006000,
6,,Segment,2,9,Image 1,2,1,100000003,510000006013,
5,,Segment,2,8,Image 1,1,1,100000003,510000006035,
5,,Segment,2,4,Image 1,3,1,100000001,510000006043,
6,,Segment,2,9,Image 1,1,1,100000003,510000006050,
2,,Segment,2,9,Image 1,2,1,100000003,510000006053,
2,,Segment,2,7,Image 1,5,1,100000001,510000006055,
4,,Segment,2,6,Image 1,5,1,100000001,510000006073,
2,,Segment,2,11,Image 1,3,1,100000002,510000006076,
49,,Segment,2,8,Image 1,3,1,100000002,510000006099,
3,,Segment,2,4,Image 1,3,1,100000001,510000006113,
3,,Segment,2,5,Image 1,4,1,100000001,510000006124,
3,,Segment,2,4,Image 1,3,1,100000001,510000006157,
2,,Segment,2,3,Image 1,3,1,100000001,510000006172,
3,,Segment,2,2,Image 1,3,1,100000001,510000006202,
5,,Segment,2,1,Image 1,2,1,100000001,510000006208,
3,,Segment,2,5,Image 1,3,1,100000001,510000006215,
1,,Segment,2,4,Image 1,3,1,100000001,510000006226,
26,,Segment,2,5,Image 1,3,1,100000001,510000006266,
26,,Segment,2,4,Image 1,2,1,100000001,510000006284,
1,,Segment,2,1,Image 1,1,1,100000001,510000006307,
