
Spine Intensity Median Ch=2 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
29.0625,,Spine,2,17,Image 1,8,1,100000001,610000010183,
81.125,,Spine,2,14,Image 1,5,1,100000001,610000010184,
76.125,,Spine,2,13,Image 1,4,1,100000001,610000010185,
91.625,,Spine,2,13,Image 1,4,1,100000001,610000010186,
33.0625,,Spine,2,13,Image 1,4,1,100000001,610000010187,
37.625,,Spine,2,13,Image 1,4,1,100000001,610000010188,
65.0625,,Spine,2,11,Image 1,5,1,100000001,610000010189,
22.0625,,Spine,2,9,Image 1,4,1,100000001,610000010190,
56.0625,,Spine,2,8,Image 1,4,1,100000001,610000010191,
77.125,,Spine,2,8,Image 1,4,1,100000001,610000010192,
30.0625,,Spine,2,7,Image 1,3,1,100000001,610000010193,
27.5625,,Spine,2,7,Image 1,3,1,100000001,610000010194,
13.0312,,Spine,2,17,Image 1,11,1,100000001,610000010195,
54.0625,,Spine,2,18,Image 1,10,1,100000001,610000010196,
25.0625,,Spine,2,17,Image 1,10,1,100000001,610000010197,
54.0625,,Spine,2,16,Image 1,9,1,100000001,610000010198,
15.0312,,Spine,2,14,Image 1,9,1,100000001,610000010199,
85.0625,,Spine,2,16,Image 1,7,1,100000001,610000010200,
43.5625,,Spine,2,15,Image 1,7,1,100000001,610000010201,
72.5625,,Spine,2,14,Image 1,6,1,100000001,610000010202,
79.9375,,Spine,2,14,Image 1,6,1,100000001,610000010203,
29.125,,Spine,2,13,Image 1,6,1,100000001,610000010204,
26.5625,,Spine,2,13,Image 1,6,1,100000001,610000010205,
34.5625,,Spine,2,11,Image 1,5,1,100000001,610000010206,
53.0625,,Spine,2,9,Image 1,4,1,100000001,610000010207,
31.5625,,Spine,2,21,Image 1,6,1,100000001,610000010208,
22.0312,,Spine,2,21,Image 1,6,1,100000001,610000010209,
32.0625,,Spine,2,21,Image 1,6,1,100000001,610000010210,
38.0625,,Spine,2,21,Image 1,5,1,100000001,610000010211,
67.5625,,Spine,2,20,Image 1,4,1,100000001,610000010212,
46.5625,,Spine,2,19,Image 1,4,1,100000001,610000010213,
37.0625,,Spine,2,17,Image 1,5,1,100000001,610000010214,
31.0625,,Spine,2,17,Image 1,5,1,100000001,610000010215,
33.0625,,Spine,2,17,Image 1,5,1,100000001,610000010216,
58.625,,Spine,2,16,Image 1,4,1,100000001,610000010217,
60.0625,,Spine,2,14,Image 1,3,1,100000001,610000010218,
32.0625,,Spine,2,14,Image 1,3,1,100000001,610000010219,
51.5625,,Spine,2,16,Image 1,5,1,100000001,610000010220,
66.0625,,Spine,2,14,Image 1,4,1,100000001,610000010221,
41.0625,,Spine,2,10,Image 1,4,1,100000001,610000010222,
43.5625,,Spine,2,8,Image 1,3,1,100000001,610000010223,
86.125,,Spine,2,9,Image 1,2,1,100000001,610000010224,
68.125,,Spine,2,6,Image 1,2,1,100000001,610000010225,
41.125,,Spine,2,7,Image 1,2,1,100000001,610000010226,
125.125,,Spine,2,2,Image 1,1,1,100000001,610000010227,
135.625,,Spine,2,2,Image 1,1,1,100000001,610000010228,
61.125,,Spine,2,2,Image 1,2,1,100000001,610000010229,
99.125,,Spine,2,2,Image 1,1,1,100000001,610000010230,
45.0625,,Spine,2,2,Image 1,3,1,100000001,610000010231,
82.125,,Spine,2,1,Image 1,1,1,100000001,610000010232,
104.125,,Spine,2,0,Image 1,1,1,100000001,610000010233,
76.125,,Spine,2,0,Image 1,1,1,100000001,610000010234,
104.125,,Spine,2,0,Image 1,1,1,100000001,610000010235,
42.125,,Spine,2,8,Image 1,4,1,100000001,610000010236,
59.125,,Spine,2,6,Image 1,4,1,100000001,610000010237,
55.125,,Spine,2,6,Image 1,4,1,100000001,610000010238,
61.125,,Spine,2,6,Image 1,4,1,100000001,610000010239,
35.5625,,Spine,2,7,Image 1,4,1,100000001,610000010240,
